tienda1,tienda2,distancia,tiempo_mins,costo
Tienda 20,Tienda 97,51,29,388
Tienda 20,Tienda 98,5,84,479
Tienda 20,Tienda 99,97,18,345
Tienda 21,Tienda 0,17,51,436
Tienda 21,Tienda 1,43,69,158
Tienda 21,Tienda 2,24,34,47
Tienda 21,Tienda 3,51,56,71
Tienda 21,Tienda 4,7,78,209
Tienda 21,Tienda 5,9,70,159
Tienda 21,Tienda 6,64,80,130
Tienda 21,Tienda 7,44,3,94
Tienda 21,Tienda 8,41,3,119
Tienda 21,Tienda 9,72,21,315
Tienda 21,Tienda 10,92,42,363
Tienda 21,Tienda 11,74,44,275
Tienda 21,Tienda 12,83,5,207
Tienda 21,Tienda 13,71,77,59
Tienda 21,Tienda 14,30,99,225
Tienda 21,Tienda 15,2,71,488
Tienda 21,Tienda 16,65,54,364
Tienda 21,Tienda 17,24,47,71
Tienda 21,Tienda 18,56,42,140
Tienda 21,Tienda 19,98,46,305
Tienda 21,Tienda 20,15,32,310
Tienda 21,Tienda 22,41,25,498
Tienda 21,Tienda 23,79,43,90
Tienda 21,Tienda 24,5,98,375
Tienda 21,Tienda 25,12,99,489
Tienda 21,Tienda 26,25,63,295
Tienda 21,Tienda 27,91,1,140
Tienda 21,Tienda 28,89,36,69
Tienda 21,Tienda 29,86,7,500
Tienda 21,Tienda 30,35,83,229
Tienda 21,Tienda 31,74,4,73
Tienda 21,Tienda 32,91,19,151
Tienda 21,Tienda 33,76,20,220
Tienda 21,Tienda 34,62,41,8
Tienda 21,Tienda 35,28,37,238
Tienda 21,Tienda 36,60,99,176
Tienda 21,Tienda 37,81,43,257
Tienda 21,Tienda 38,46,21,398
Tienda 21,Tienda 39,12,88,138
Tienda 21,Tienda 40,7,21,23
Tienda 21,Tienda 41,16,33,335
Tienda 21,Tienda 42,1,59,21
Tienda 21,Tienda 43,56,35,185
Tienda 21,Tienda 44,60,1,143
Tienda 21,Tienda 45,3,78,391
Tienda 21,Tienda 46,87,99,100
Tienda 21,Tienda 47,80,49,385
Tienda 21,Tienda 48,64,82,458
Tienda 21,Tienda 49,42,19,478
Tienda 21,Tienda 50,79,33,51
Tienda 21,Tienda 51,67,98,261
Tienda 21,Tienda 52,5,94,229
Tienda 21,Tienda 53,41,48,40
Tienda 21,Tienda 54,45,16,401
Tienda 21,Tienda 55,38,16,121
Tienda 21,Tienda 56,79,61,418
Tienda 21,Tienda 57,1,90,282
Tienda 21,Tienda 58,13,52,160
Tienda 21,Tienda 59,98,53,14
Tienda 21,Tienda 60,14,77,66
Tienda 21,Tienda 61,90,13,279
Tienda 21,Tienda 62,7,46,305
Tienda 21,Tienda 63,80,60,414
Tienda 21,Tienda 64,15,71,199
Tienda 21,Tienda 65,20,15,317
Tienda 21,Tienda 66,97,55,27
Tienda 21,Tienda 67,28,15,237
Tienda 21,Tienda 68,98,24,240
Tienda 21,Tienda 69,29,27,366
Tienda 21,Tienda 70,17,15,96
Tienda 21,Tienda 71,38,63,431
Tienda 21,Tienda 72,18,38,331
Tienda 21,Tienda 73,58,48,116
Tienda 21,Tienda 74,21,96,366
Tienda 21,Tienda 75,78,68,409
Tienda 21,Tienda 76,51,81,253
Tienda 21,Tienda 77,25,11,105
Tienda 21,Tienda 78,65,37,347
Tienda 21,Tienda 79,6,55,355
Tienda 21,Tienda 80,74,44,52
Tienda 21,Tienda 81,8,30,81
Tienda 21,Tienda 82,35,87,333
Tienda 21,Tienda 83,21,55,211
Tienda 21,Tienda 84,46,82,111
Tienda 21,Tienda 85,23,19,396
Tienda 21,Tienda 86,77,10,228
Tienda 21,Tienda 87,7,25,257
Tienda 21,Tienda 88,83,66,131
Tienda 21,Tienda 89,34,5,24
Tienda 21,Tienda 90,46,27,55
Tienda 21,Tienda 91,85,64,347
Tienda 21,Tienda 92,18,34,455
Tienda 21,Tienda 93,85,62,299
Tienda 21,Tienda 94,24,1,457
Tienda 21,Tienda 95,52,96,201
Tienda 21,Tienda 96,33,93,450
Tienda 21,Tienda 97,18,98,473
Tienda 21,Tienda 98,75,9,378
Tienda 21,Tienda 99,54,43,359
Tienda 22,Tienda 0,90,84,216
Tienda 22,Tienda 1,34,95,139
Tienda 22,Tienda 2,49,32,149
Tienda 22,Tienda 3,54,41,24
Tienda 22,Tienda 4,94,5,420
Tienda 22,Tienda 5,30,21,444
Tienda 22,Tienda 6,19,74,413
Tienda 22,Tienda 7,58,54,235
Tienda 22,Tienda 8,58,93,113
Tienda 22,Tienda 9,91,19,463
Tienda 22,Tienda 10,23,3,113
Tienda 22,Tienda 11,84,71,110
Tienda 22,Tienda 12,97,47,54
Tienda 22,Tienda 13,33,84,87
Tienda 22,Tienda 14,5,2,374
Tienda 22,Tienda 15,78,13,31
Tienda 22,Tienda 16,64,27,122
Tienda 22,Tienda 17,87,46,46
Tienda 22,Tienda 18,57,71,256
Tienda 22,Tienda 19,96,32,359
Tienda 22,Tienda 20,39,6,52
Tienda 22,Tienda 21,34,32,416
Tienda 22,Tienda 23,21,8,264
Tienda 22,Tienda 24,95,47,465
Tienda 22,Tienda 25,26,71,94
Tienda 22,Tienda 26,9,6,410
Tienda 22,Tienda 27,70,28,183
Tienda 22,Tienda 28,15,41,9
Tienda 22,Tienda 29,16,80,96
Tienda 22,Tienda 30,72,29,51
Tienda 22,Tienda 31,100,52,368
Tienda 22,Tienda 32,90,69,240
Tienda 22,Tienda 33,30,51,219
Tienda 22,Tienda 34,12,41,131
Tienda 22,Tienda 35,52,36,307
Tienda 22,Tienda 36,99,90,286
Tienda 22,Tienda 37,88,19,184
Tienda 22,Tienda 38,24,19,269
Tienda 22,Tienda 39,73,83,277
Tienda 22,Tienda 40,99,94,206
Tienda 22,Tienda 41,22,29,187
Tienda 22,Tienda 42,66,23,432
Tienda 22,Tienda 43,19,100,365
Tienda 22,Tienda 44,22,48,188
Tienda 22,Tienda 45,5,66,480
Tienda 22,Tienda 46,56,94,230
Tienda 22,Tienda 47,88,4,341
Tienda 22,Tienda 48,75,39,198
Tienda 22,Tienda 49,34,72,283
Tienda 22,Tienda 50,49,31,346
Tienda 22,Tienda 51,14,35,90
Tienda 22,Tienda 52,92,63,108
Tienda 22,Tienda 53,54,56,262
Tienda 22,Tienda 54,85,70,16
Tienda 22,Tienda 55,5,12,365
Tienda 22,Tienda 56,42,74,435
Tienda 22,Tienda 57,63,96,311
Tienda 22,Tienda 58,31,60,185
Tienda 22,Tienda 59,5,59,27
Tienda 22,Tienda 60,20,46,445
Tienda 22,Tienda 61,100,22,247
Tienda 22,Tienda 62,38,11,493
Tienda 22,Tienda 63,14,32,344
Tienda 22,Tienda 64,70,41,22
Tienda 22,Tienda 65,84,10,121
Tienda 22,Tienda 66,44,80,229
Tienda 22,Tienda 67,8,73,430
Tienda 22,Tienda 68,51,52,97
Tienda 22,Tienda 69,51,29,258
Tienda 22,Tienda 70,42,18,291
Tienda 22,Tienda 71,77,96,457
Tienda 22,Tienda 72,56,48,227
Tienda 22,Tienda 73,88,31,440
Tienda 22,Tienda 74,22,64,147
Tienda 22,Tienda 75,42,48,345
Tienda 22,Tienda 76,22,60,5
Tienda 22,Tienda 77,58,99,193
Tienda 22,Tienda 78,87,29,425
Tienda 22,Tienda 79,54,70,126
Tienda 22,Tienda 80,87,70,111
Tienda 22,Tienda 81,75,76,55
Tienda 22,Tienda 82,29,35,255
Tienda 22,Tienda 83,37,27,140
Tienda 22,Tienda 84,63,10,86
Tienda 22,Tienda 85,60,32,19
Tienda 22,Tienda 86,13,70,348
Tienda 22,Tienda 87,13,13,266
Tienda 22,Tienda 88,93,51,420
Tienda 22,Tienda 89,85,91,208
Tienda 22,Tienda 90,7,3,261
Tienda 22,Tienda 91,5,65,112
Tienda 22,Tienda 92,63,33,21
Tienda 22,Tienda 93,42,20,59
Tienda 22,Tienda 94,15,38,355
Tienda 22,Tienda 95,41,33,484
Tienda 22,Tienda 96,74,42,148
Tienda 22,Tienda 97,77,10,312
Tienda 22,Tienda 98,14,89,248
Tienda 22,Tienda 99,48,3,236
Tienda 23,Tienda 0,68,54,304
Tienda 23,Tienda 1,6,1,474
Tienda 23,Tienda 2,16,86,320
Tienda 23,Tienda 3,69,93,495
Tienda 23,Tienda 4,31,81,325
Tienda 23,Tienda 5,59,42,249
Tienda 23,Tienda 6,54,40,62
Tienda 23,Tienda 7,16,43,168
Tienda 23,Tienda 8,70,74,391
Tienda 23,Tienda 9,8,14,100
Tienda 23,Tienda 10,74,80,362
Tienda 23,Tienda 11,13,43,351
Tienda 23,Tienda 12,40,27,173
Tienda 23,Tienda 13,62,27,53
Tienda 23,Tienda 14,83,93,494
Tienda 23,Tienda 15,63,10,456
Tienda 23,Tienda 16,63,65,274
Tienda 23,Tienda 17,4,57,173
Tienda 23,Tienda 18,72,58,13
Tienda 23,Tienda 19,20,5,108
Tienda 23,Tienda 20,92,29,55
Tienda 23,Tienda 21,13,10,249
Tienda 23,Tienda 22,92,19,53
Tienda 23,Tienda 24,80,100,330
Tienda 23,Tienda 25,72,44,98
Tienda 23,Tienda 26,82,74,95
Tienda 23,Tienda 27,42,64,191
Tienda 23,Tienda 28,99,18,307
Tienda 23,Tienda 29,82,87,234
Tienda 23,Tienda 30,64,19,193
Tienda 23,Tienda 31,70,31,191
Tienda 23,Tienda 32,73,59,416
Tienda 23,Tienda 33,25,73,27
Tienda 23,Tienda 34,68,88,17
Tienda 23,Tienda 35,7,94,476
Tienda 23,Tienda 36,50,2,333
Tienda 23,Tienda 37,16,61,471
Tienda 23,Tienda 38,59,5,123
Tienda 23,Tienda 39,59,9,384
Tienda 23,Tienda 40,10,13,31
Tienda 23,Tienda 41,99,18,456
Tienda 23,Tienda 42,79,71,283
Tienda 23,Tienda 43,81,82,394
Tienda 23,Tienda 44,62,78,441
Tienda 23,Tienda 45,69,17,7
Tienda 23,Tienda 46,94,1,389
Tienda 23,Tienda 47,16,9,372
Tienda 23,Tienda 48,5,62,169
Tienda 23,Tienda 49,75,50,416
Tienda 23,Tienda 50,15,71,196
Tienda 23,Tienda 51,6,77,26
Tienda 23,Tienda 52,41,47,462
Tienda 23,Tienda 53,22,63,342
Tienda 23,Tienda 54,72,73,362
Tienda 23,Tienda 55,81,96,209
Tienda 23,Tienda 56,52,18,120
Tienda 23,Tienda 57,86,46,367
Tienda 23,Tienda 58,10,64,162
Tienda 23,Tienda 59,26,65,466
Tienda 23,Tienda 60,27,21,156
Tienda 23,Tienda 61,85,80,190
Tienda 23,Tienda 62,17,54,443
Tienda 23,Tienda 63,6,89,202
Tienda 23,Tienda 64,81,64,448
Tienda 23,Tienda 65,57,20,21
Tienda 23,Tienda 66,38,13,65
Tienda 23,Tienda 67,44,95,438
Tienda 23,Tienda 68,28,15,13
Tienda 23,Tienda 69,10,2,284
Tienda 23,Tienda 70,78,70,72
Tienda 23,Tienda 71,6,55,29
Tienda 23,Tienda 72,91,73,339
Tienda 23,Tienda 73,1,79,365
Tienda 23,Tienda 74,61,10,351
Tienda 23,Tienda 75,71,80,261
Tienda 23,Tienda 76,97,6,83
Tienda 23,Tienda 77,34,96,193
Tienda 23,Tienda 78,66,85,306
Tienda 23,Tienda 79,73,71,394
Tienda 23,Tienda 80,65,83,468
Tienda 23,Tienda 81,13,2,59
Tienda 23,Tienda 82,18,83,312
Tienda 23,Tienda 83,69,48,401
Tienda 23,Tienda 84,2,3,438
Tienda 23,Tienda 85,70,48,147
Tienda 23,Tienda 86,55,40,322
Tienda 23,Tienda 87,75,83,315
Tienda 23,Tienda 88,87,25,281
Tienda 23,Tienda 89,7,19,392
Tienda 23,Tienda 90,94,87,333
Tienda 23,Tienda 91,82,19,386
Tienda 23,Tienda 92,85,41,405
Tienda 23,Tienda 93,84,5,137
Tienda 23,Tienda 94,22,36,157
Tienda 23,Tienda 95,29,78,185
Tienda 23,Tienda 96,9,18,146
Tienda 23,Tienda 97,45,54,387
Tienda 23,Tienda 98,57,96,453
Tienda 23,Tienda 99,21,66,454
Tienda 24,Tienda 0,38,85,176
Tienda 24,Tienda 1,68,13,236
Tienda 24,Tienda 2,49,70,178
Tienda 24,Tienda 3,73,8,97
Tienda 24,Tienda 4,73,29,499
Tienda 24,Tienda 5,39,13,112
Tienda 24,Tienda 6,10,36,377
Tienda 24,Tienda 7,7,49,295
Tienda 24,Tienda 8,57,97,175
Tienda 24,Tienda 9,15,41,433
Tienda 24,Tienda 10,9,8,398
Tienda 24,Tienda 11,16,65,308
Tienda 24,Tienda 12,73,88,298
Tienda 24,Tienda 13,73,1,101
Tienda 24,Tienda 14,1,54,387
Tienda 24,Tienda 15,72,26,112
Tienda 24,Tienda 16,43,38,233
Tienda 24,Tienda 17,51,82,240
Tienda 24,Tienda 18,7,22,242
Tienda 24,Tienda 19,30,4,193
Tienda 24,Tienda 20,93,70,221
Tienda 24,Tienda 21,28,20,25
Tienda 24,Tienda 22,64,51,232
Tienda 24,Tienda 23,48,20,92
Tienda 24,Tienda 25,68,29,106
Tienda 24,Tienda 26,75,60,214
Tienda 24,Tienda 27,20,29,164
Tienda 24,Tienda 28,70,86,436
Tienda 24,Tienda 29,86,81,280
Tienda 24,Tienda 30,38,76,303
Tienda 24,Tienda 31,19,29,318
Tienda 24,Tienda 32,8,30,340
Tienda 24,Tienda 33,68,14,342
Tienda 24,Tienda 34,75,34,10
Tienda 24,Tienda 35,85,54,482
Tienda 24,Tienda 36,4,44,387
Tienda 24,Tienda 37,97,18,266
Tienda 24,Tienda 38,96,6,463
Tienda 24,Tienda 39,100,77,217
Tienda 24,Tienda 40,81,86,54
Tienda 24,Tienda 41,64,71,278
Tienda 24,Tienda 42,70,11,305
Tienda 24,Tienda 43,59,14,22
Tienda 24,Tienda 44,86,31,471
Tienda 24,Tienda 45,36,16,209
Tienda 24,Tienda 46,2,83,118
Tienda 24,Tienda 47,21,56,461
Tienda 24,Tienda 48,18,61,276
Tienda 24,Tienda 49,79,67,396
Tienda 24,Tienda 50,14,29,42
Tienda 24,Tienda 51,52,3,44
Tienda 24,Tienda 52,62,18,58
Tienda 24,Tienda 53,1,13,220
Tienda 24,Tienda 54,41,72,356
Tienda 24,Tienda 55,22,79,71
Tienda 24,Tienda 56,92,57,290
Tienda 24,Tienda 57,54,87,167
Tienda 24,Tienda 58,82,28,362
Tienda 24,Tienda 59,80,75,347
Tienda 24,Tienda 60,67,82,76
Tienda 24,Tienda 61,23,29,299
Tienda 24,Tienda 62,36,3,80
Tienda 24,Tienda 63,36,84,194
Tienda 24,Tienda 64,12,72,250
Tienda 24,Tienda 65,49,65,344
Tienda 24,Tienda 66,67,89,142
Tienda 24,Tienda 67,99,13,499
Tienda 24,Tienda 68,88,33,239
Tienda 24,Tienda 69,89,71,254
Tienda 24,Tienda 70,32,32,183
Tienda 24,Tienda 71,61,68,71
Tienda 24,Tienda 72,39,10,147
Tienda 24,Tienda 73,26,27,478
Tienda 24,Tienda 74,94,49,83
Tienda 24,Tienda 75,15,42,401
Tienda 24,Tienda 76,92,43,298
Tienda 24,Tienda 77,23,91,457
Tienda 24,Tienda 78,95,26,132
Tienda 24,Tienda 79,34,49,297
Tienda 24,Tienda 80,22,53,246
Tienda 24,Tienda 81,31,9,379
Tienda 24,Tienda 82,30,48,412
Tienda 24,Tienda 83,24,95,72
Tienda 24,Tienda 84,75,61,436
Tienda 24,Tienda 85,50,36,66
Tienda 24,Tienda 86,46,7,176
Tienda 24,Tienda 87,49,60,37
Tienda 24,Tienda 88,100,83,70
Tienda 24,Tienda 89,45,67,276
Tienda 24,Tienda 90,60,61,175
Tienda 24,Tienda 91,40,72,482
Tienda 24,Tienda 92,84,85,65
Tienda 24,Tienda 93,71,84,182
Tienda 24,Tienda 94,45,4,445
Tienda 24,Tienda 95,32,72,53
Tienda 24,Tienda 96,25,86,5
Tienda 24,Tienda 97,53,22,137
Tienda 24,Tienda 98,56,22,119
Tienda 24,Tienda 99,70,41,158
Tienda 25,Tienda 0,91,2,241
Tienda 25,Tienda 1,98,20,144
Tienda 25,Tienda 2,21,89,450
Tienda 25,Tienda 3,34,13,378
Tienda 25,Tienda 4,98,32,326
Tienda 25,Tienda 5,8,60,165
Tienda 25,Tienda 6,10,80,343
Tienda 25,Tienda 7,55,17,286
Tienda 25,Tienda 8,27,4,409
Tienda 25,Tienda 9,80,77,28
Tienda 25,Tienda 10,18,92,19
Tienda 25,Tienda 11,49,8,483
Tienda 25,Tienda 12,73,6,393
Tienda 25,Tienda 13,43,90,381
Tienda 25,Tienda 14,51,97,110
Tienda 25,Tienda 15,8,4,433
Tienda 25,Tienda 16,55,70,51
Tienda 25,Tienda 17,5,72,487
Tienda 25,Tienda 18,53,62,276
Tienda 25,Tienda 19,76,79,194
Tienda 25,Tienda 20,69,20,140
Tienda 25,Tienda 21,17,5,287
Tienda 25,Tienda 22,64,90,370
Tienda 25,Tienda 23,60,33,432
Tienda 25,Tienda 24,97,54,100
Tienda 25,Tienda 26,51,68,368
Tienda 25,Tienda 27,39,21,390
Tienda 25,Tienda 28,100,24,398
Tienda 25,Tienda 29,55,24,248
Tienda 25,Tienda 30,33,19,107
Tienda 25,Tienda 31,33,74,337
Tienda 25,Tienda 32,49,79,172
Tienda 25,Tienda 33,87,66,37
Tienda 25,Tienda 34,59,34,184
Tienda 25,Tienda 35,82,65,214
Tienda 25,Tienda 36,54,52,235
Tienda 25,Tienda 37,93,24,62
Tienda 25,Tienda 38,62,47,358
Tienda 25,Tienda 39,74,17,199
Tienda 25,Tienda 40,41,68,25
Tienda 25,Tienda 41,26,85,169
Tienda 25,Tienda 42,68,18,214
Tienda 25,Tienda 43,33,56,84
Tienda 25,Tienda 44,45,98,224
Tienda 25,Tienda 45,66,38,438
Tienda 25,Tienda 46,45,5,455
Tienda 25,Tienda 47,21,33,48
Tienda 25,Tienda 48,26,51,374
Tienda 25,Tienda 49,7,93,245
Tienda 25,Tienda 50,84,49,372
Tienda 25,Tienda 51,86,44,132
Tienda 25,Tienda 52,18,23,455
Tienda 25,Tienda 53,81,50,76
Tienda 25,Tienda 54,38,85,474
Tienda 25,Tienda 55,90,80,392
Tienda 25,Tienda 56,99,78,206
Tienda 25,Tienda 57,10,39,417
Tienda 25,Tienda 58,42,86,11
Tienda 25,Tienda 59,79,82,302
Tienda 25,Tienda 60,20,50,357
Tienda 25,Tienda 61,69,81,360
Tienda 25,Tienda 62,95,58,415
Tienda 25,Tienda 63,6,39,312
Tienda 25,Tienda 64,47,87,273
Tienda 25,Tienda 65,100,95,486
Tienda 25,Tienda 66,55,19,445
Tienda 25,Tienda 67,46,86,485
Tienda 25,Tienda 68,45,23,441
Tienda 25,Tienda 69,62,50,135
Tienda 25,Tienda 70,87,97,301
Tienda 25,Tienda 71,9,70,290
Tienda 25,Tienda 72,23,99,500
Tienda 25,Tienda 73,78,84,40
Tienda 25,Tienda 74,9,54,90
Tienda 25,Tienda 75,71,72,434
Tienda 25,Tienda 76,89,54,463
Tienda 25,Tienda 77,51,76,435
Tienda 25,Tienda 78,4,90,8
Tienda 25,Tienda 79,34,51,483
Tienda 25,Tienda 80,5,55,364
Tienda 25,Tienda 81,92,100,129
Tienda 25,Tienda 82,31,23,121
Tienda 25,Tienda 83,62,99,251
Tienda 25,Tienda 84,1,75,459
Tienda 25,Tienda 85,84,74,306
Tienda 25,Tienda 86,88,48,18
Tienda 25,Tienda 87,53,11,101
Tienda 25,Tienda 88,56,95,53
Tienda 25,Tienda 89,86,74,337
Tienda 25,Tienda 90,50,31,359
Tienda 25,Tienda 91,45,57,357
Tienda 25,Tienda 92,8,48,64
Tienda 25,Tienda 93,17,66,88
Tienda 25,Tienda 94,66,56,475
Tienda 25,Tienda 95,71,14,223
Tienda 25,Tienda 96,8,8,239
Tienda 25,Tienda 97,52,58,24
Tienda 25,Tienda 98,93,66,394
Tienda 25,Tienda 99,40,33,478
Tienda 26,Tienda 0,99,64,315
Tienda 26,Tienda 1,78,100,250
Tienda 26,Tienda 2,82,34,187
Tienda 26,Tienda 3,92,70,240
Tienda 26,Tienda 4,68,33,93
Tienda 26,Tienda 5,40,46,160
Tienda 26,Tienda 6,42,40,260
Tienda 26,Tienda 7,37,2,206
Tienda 26,Tienda 8,42,41,118
Tienda 26,Tienda 9,68,68,293
Tienda 26,Tienda 10,21,25,57
Tienda 26,Tienda 11,75,71,236
Tienda 26,Tienda 12,98,30,329
Tienda 26,Tienda 13,98,43,223
Tienda 26,Tienda 14,28,39,416
Tienda 26,Tienda 15,15,7,492
Tienda 26,Tienda 16,5,39,59
Tienda 26,Tienda 17,58,12,197
Tienda 26,Tienda 18,12,34,130
Tienda 26,Tienda 19,12,65,118
Tienda 26,Tienda 20,24,46,173
Tienda 26,Tienda 21,88,20,316
Tienda 26,Tienda 22,62,52,468
Tienda 26,Tienda 23,48,45,70
Tienda 26,Tienda 24,73,26,454
Tienda 26,Tienda 25,42,26,82
Tienda 26,Tienda 27,94,28,93
Tienda 26,Tienda 28,89,10,341
Tienda 26,Tienda 29,41,70,311
Tienda 26,Tienda 30,18,38,271
Tienda 26,Tienda 31,66,91,114
Tienda 26,Tienda 32,31,46,21
Tienda 26,Tienda 33,56,55,307
Tienda 26,Tienda 34,12,55,389
Tienda 26,Tienda 35,46,39,64
Tienda 26,Tienda 36,95,94,189
Tienda 26,Tienda 37,11,64,274
Tienda 26,Tienda 38,35,70,446
Tienda 26,Tienda 39,31,62,162
Tienda 26,Tienda 40,34,14,232
Tienda 26,Tienda 41,20,12,342
Tienda 26,Tienda 42,32,23,486
Tienda 26,Tienda 43,61,81,333
Tienda 26,Tienda 44,41,12,484
Tienda 26,Tienda 45,61,19,476
Tienda 26,Tienda 46,88,16,332
Tienda 26,Tienda 47,21,94,23
Tienda 26,Tienda 48,8,84,204
Tienda 26,Tienda 49,79,5,359
Tienda 26,Tienda 50,69,13,209
Tienda 26,Tienda 51,79,15,314
Tienda 26,Tienda 52,66,59,282
Tienda 26,Tienda 53,28,69,498
Tienda 26,Tienda 54,80,95,382
Tienda 26,Tienda 55,40,28,324
Tienda 26,Tienda 56,41,74,155
Tienda 26,Tienda 57,11,45,345
Tienda 26,Tienda 58,83,89,304
Tienda 26,Tienda 59,24,85,38
Tienda 26,Tienda 60,83,15,260
Tienda 26,Tienda 61,4,37,114
Tienda 26,Tienda 62,3,20,300
Tienda 26,Tienda 63,58,64,140
Tienda 26,Tienda 64,37,86,162
Tienda 26,Tienda 65,88,81,68
Tienda 26,Tienda 66,89,98,375
Tienda 26,Tienda 67,95,67,431
Tienda 26,Tienda 68,88,39,254
Tienda 26,Tienda 69,21,18,300
Tienda 26,Tienda 70,74,70,126
Tienda 26,Tienda 71,62,47,53
Tienda 26,Tienda 72,36,1,357
Tienda 26,Tienda 73,84,47,246
Tienda 26,Tienda 74,90,9,27
Tienda 26,Tienda 75,20,97,489
Tienda 26,Tienda 76,87,70,343
Tienda 26,Tienda 77,92,91,422
Tienda 26,Tienda 78,41,10,319
Tienda 26,Tienda 79,92,27,420
Tienda 26,Tienda 80,91,51,448
Tienda 26,Tienda 81,83,30,295
Tienda 26,Tienda 82,93,12,230
Tienda 26,Tienda 83,41,56,392
Tienda 26,Tienda 84,89,99,269
Tienda 26,Tienda 85,42,83,432
Tienda 26,Tienda 86,53,67,413
Tienda 26,Tienda 87,1,55,186
Tienda 26,Tienda 88,52,51,346
Tienda 26,Tienda 89,4,14,387
Tienda 26,Tienda 90,10,58,79
Tienda 26,Tienda 91,8,32,398
Tienda 26,Tienda 92,22,77,390
Tienda 26,Tienda 93,1,28,309
Tienda 26,Tienda 94,24,40,446
Tienda 26,Tienda 95,83,7,20
Tienda 26,Tienda 96,5,6,87
Tienda 26,Tienda 97,47,27,147
Tienda 26,Tienda 98,73,98,289
Tienda 26,Tienda 99,39,44,445
Tienda 27,Tienda 0,99,10,145
Tienda 27,Tienda 1,89,81,116
Tienda 27,Tienda 2,70,93,103
Tienda 27,Tienda 3,61,4,283
Tienda 27,Tienda 4,71,95,494
Tienda 27,Tienda 5,33,98,310
Tienda 27,Tienda 6,13,55,119
Tienda 27,Tienda 7,74,29,52
Tienda 27,Tienda 8,68,46,51
Tienda 27,Tienda 9,38,96,287
Tienda 27,Tienda 10,91,48,362
Tienda 27,Tienda 11,73,44,435
Tienda 27,Tienda 12,67,4,111
Tienda 27,Tienda 13,41,80,423
Tienda 27,Tienda 14,28,30,59
Tienda 27,Tienda 15,5,99,5
Tienda 27,Tienda 16,30,58,403
Tienda 27,Tienda 17,56,24,75
Tienda 27,Tienda 18,8,82,417
Tienda 27,Tienda 19,29,43,227
Tienda 27,Tienda 20,22,37,120
Tienda 27,Tienda 21,64,52,47
Tienda 27,Tienda 22,50,93,217
Tienda 27,Tienda 23,38,1,59
Tienda 27,Tienda 24,17,82,164
Tienda 27,Tienda 25,71,56,482
Tienda 27,Tienda 26,61,37,231
Tienda 27,Tienda 28,21,32,497
Tienda 27,Tienda 29,58,55,5
Tienda 27,Tienda 30,4,6,230
Tienda 27,Tienda 31,53,75,121
Tienda 27,Tienda 32,95,81,484
Tienda 27,Tienda 33,84,49,210
Tienda 27,Tienda 34,33,2,376
Tienda 27,Tienda 35,77,42,441
Tienda 27,Tienda 36,67,9,442
Tienda 27,Tienda 37,47,30,482
Tienda 27,Tienda 38,57,64,311
Tienda 27,Tienda 39,63,26,248
Tienda 27,Tienda 40,20,10,453
Tienda 27,Tienda 41,14,80,286
Tienda 27,Tienda 42,12,90,52
Tienda 27,Tienda 43,71,74,250
Tienda 27,Tienda 44,4,63,459
Tienda 27,Tienda 45,75,59,497
Tienda 27,Tienda 46,19,34,463
Tienda 27,Tienda 47,79,96,401
Tienda 27,Tienda 48,52,16,354
Tienda 27,Tienda 49,89,87,182
Tienda 27,Tienda 50,11,2,388
Tienda 27,Tienda 51,66,47,473
Tienda 27,Tienda 52,67,34,170
Tienda 27,Tienda 53,21,8,159
Tienda 27,Tienda 54,75,47,62
Tienda 27,Tienda 55,16,17,123
Tienda 27,Tienda 56,25,49,116
Tienda 27,Tienda 57,87,3,63
Tienda 27,Tienda 58,45,66,376
Tienda 27,Tienda 59,35,77,496
Tienda 27,Tienda 60,44,96,11
Tienda 27,Tienda 61,1,88,478
Tienda 27,Tienda 62,37,56,327
Tienda 27,Tienda 63,88,60,391
Tienda 27,Tienda 64,77,89,235
Tienda 27,Tienda 65,42,76,46
Tienda 27,Tienda 66,38,26,204
Tienda 27,Tienda 67,8,81,124
Tienda 27,Tienda 68,70,92,338
Tienda 27,Tienda 69,85,70,238
Tienda 27,Tienda 70,66,33,379
Tienda 27,Tienda 71,9,69,204
Tienda 27,Tienda 72,49,83,325
Tienda 27,Tienda 73,30,14,484
Tienda 27,Tienda 74,93,6,109
Tienda 27,Tienda 75,96,36,48
Tienda 27,Tienda 76,30,29,30
Tienda 27,Tienda 77,47,41,326
Tienda 27,Tienda 78,93,11,225
Tienda 27,Tienda 79,60,86,476
Tienda 27,Tienda 80,24,97,16
Tienda 27,Tienda 81,41,15,410
Tienda 27,Tienda 82,94,10,384
Tienda 27,Tienda 83,58,34,381
Tienda 27,Tienda 84,84,82,284
Tienda 27,Tienda 85,84,49,434
Tienda 27,Tienda 86,58,94,469
Tienda 27,Tienda 87,7,93,330
Tienda 27,Tienda 88,12,76,115
Tienda 27,Tienda 89,42,48,244
Tienda 27,Tienda 90,6,54,285
Tienda 27,Tienda 91,57,39,374
Tienda 27,Tienda 92,86,55,187
Tienda 27,Tienda 93,21,82,446
Tienda 27,Tienda 94,93,65,348
Tienda 27,Tienda 95,31,23,448
Tienda 27,Tienda 96,96,64,421
Tienda 27,Tienda 97,17,63,187
Tienda 27,Tienda 98,2,20,117
Tienda 27,Tienda 99,48,96,110
Tienda 28,Tienda 0,60,76,354
Tienda 28,Tienda 1,56,56,498
