almacen,producto,cantidad,shelfTimePromedioDias,bloque
Almacen 12,Producto 42,2,22.14,B-4
Almacen 12,Producto 43,88,13.14,A-5
Almacen 12,Producto 44,96,28.63,B-6
Almacen 12,Producto 45,65,25.97,C-7
Almacen 12,Producto 46,91,17.59,E-4
Almacen 12,Producto 47,40,9.9,G-5
Almacen 12,Producto 48,95,11.58,E-8
Almacen 12,Producto 49,10,11.05,G-6
Almacen 12,Producto 50,7,29.58,F-3
Almacen 12,Producto 51,87,3.42,E-8
Almacen 12,Producto 52,29,22.95,E-1
Almacen 12,Producto 53,58,27.14,C-5
Almacen 12,Producto 54,76,6.21,F-1
Almacen 12,Producto 55,5,24.84,E-1
Almacen 12,Producto 56,64,11.37,F-3
Almacen 12,Producto 57,99,21.9,G-7
Almacen 12,Producto 58,28,26.74,E-6
Almacen 12,Producto 59,1,23.9,F-4
Almacen 12,Producto 60,2,6.46,B-5
Almacen 12,Producto 61,25,5.58,H-6
Almacen 12,Producto 62,76,6.77,B-7
Almacen 12,Producto 63,100,8.32,F-7
Almacen 12,Producto 64,50,11.87,G-7
Almacen 12,Producto 65,55,18.93,F-3
Almacen 12,Producto 66,40,8.74,B-7
Almacen 12,Producto 67,15,16.01,E-8
Almacen 12,Producto 68,97,2.44,H-2
Almacen 12,Producto 69,8,8.87,B-4
Almacen 12,Producto 70,89,8.21,G-8
Almacen 12,Producto 71,40,10.44,A-4
Almacen 12,Producto 72,23,22.99,A-7
Almacen 12,Producto 73,93,28.79,H-3
Almacen 12,Producto 74,21,13.56,E-8
Almacen 12,Producto 75,82,12.0,B-4
Almacen 12,Producto 76,6,11.52,G-5
Almacen 12,Producto 77,8,15.35,A-2
Almacen 12,Producto 78,60,19.66,F-5
Almacen 12,Producto 79,85,29.81,E-4
Almacen 12,Producto 80,10,10.72,A-2
Almacen 12,Producto 81,11,15.6,E-7
Almacen 12,Producto 82,27,13.88,F-6
Almacen 12,Producto 83,68,14.18,C-2
Almacen 12,Producto 84,3,4.82,A-7
Almacen 12,Producto 85,79,22.85,D-8
Almacen 12,Producto 86,48,23.17,C-6
Almacen 12,Producto 87,81,27.83,E-6
Almacen 12,Producto 88,92,9.66,H-3
Almacen 12,Producto 89,86,26.07,H-3
Almacen 12,Producto 90,75,19.46,A-2
Almacen 12,Producto 91,39,13.38,A-6
Almacen 12,Producto 92,45,24.53,E-5
Almacen 12,Producto 93,2,14.9,F-8
Almacen 12,Producto 94,53,8.68,A-7
Almacen 12,Producto 95,49,26.87,E-8
Almacen 12,Producto 96,98,28.88,H-3
Almacen 12,Producto 97,13,4.42,E-2
Almacen 12,Producto 98,100,13.77,H-1
Almacen 12,Producto 99,89,6.48,E-1
Almacen 12,Producto 100,73,7.87,B-5
Almacen 12,Producto 101,0,18.42,H-6
Almacen 12,Producto 102,35,10.02,A-7
Almacen 12,Producto 103,70,16.37,F-2
Almacen 12,Producto 104,1,5.63,A-5
Almacen 12,Producto 105,40,4.59,H-8
Almacen 12,Producto 106,25,2.29,A-4
Almacen 12,Producto 107,46,29.29,F-2
Almacen 12,Producto 108,20,28.96,E-6
Almacen 12,Producto 109,39,6.09,D-6
Almacen 12,Producto 110,20,1.55,C-3
Almacen 12,Producto 111,25,1.07,H-7
Almacen 12,Producto 112,25,11.19,G-2
Almacen 12,Producto 113,12,14.06,D-1
Almacen 12,Producto 114,13,19.07,C-4
Almacen 12,Producto 115,98,19.44,G-5
Almacen 12,Producto 116,17,3.66,G-1
Almacen 12,Producto 117,100,20.46,D-3
Almacen 12,Producto 118,16,25.14,F-7
Almacen 12,Producto 119,11,17.25,G-4
Almacen 12,Producto 120,57,22.14,H-2
Almacen 12,Producto 121,34,25.0,H-4
Almacen 12,Producto 122,35,14.75,H-7
Almacen 12,Producto 123,75,7.26,C-6
Almacen 12,Producto 124,84,23.99,G-6
Almacen 12,Producto 125,2,19.05,H-6
Almacen 12,Producto 126,73,23.47,B-4
Almacen 12,Producto 127,85,24.24,G-5
Almacen 12,Producto 128,76,28.23,G-5
Almacen 12,Producto 129,90,6.19,G-6
Almacen 12,Producto 130,76,8.81,E-3
Almacen 12,Producto 131,36,8.45,C-5
Almacen 12,Producto 132,14,6.2,D-1
Almacen 12,Producto 133,26,28.13,C-3
Almacen 12,Producto 134,71,22.84,A-7
Almacen 12,Producto 135,50,22.13,E-5
Almacen 12,Producto 136,96,6.58,D-6
Almacen 12,Producto 137,88,6.15,C-6
Almacen 12,Producto 138,31,26.58,C-3
Almacen 12,Producto 139,73,3.46,H-8
Almacen 12,Producto 140,12,10.44,C-8
Almacen 12,Producto 141,40,14.49,F-2
Almacen 12,Producto 142,32,19.38,A-8
Almacen 12,Producto 143,2,9.09,G-4
Almacen 12,Producto 144,16,5.6,B-3
Almacen 12,Producto 145,64,27.12,B-7
Almacen 12,Producto 146,90,12.3,F-7
Almacen 12,Producto 147,15,6.54,E-7
Almacen 12,Producto 148,47,12.3,D-5
Almacen 12,Producto 149,2,22.67,H-1
Almacen 12,Producto 150,89,11.42,E-6
Almacen 12,Producto 151,57,28.71,E-3
Almacen 12,Producto 152,45,6.01,C-7
Almacen 12,Producto 153,22,18.83,F-2
Almacen 12,Producto 154,0,28.12,E-6
Almacen 12,Producto 155,10,6.01,E-6
Almacen 12,Producto 156,41,11.48,G-7
Almacen 12,Producto 157,45,19.52,A-7
Almacen 12,Producto 158,98,18.47,F-2
Almacen 12,Producto 159,7,4.55,C-4
Almacen 12,Producto 160,74,5.28,E-7
Almacen 12,Producto 161,62,12.99,A-4
Almacen 12,Producto 162,24,18.47,C-3
Almacen 12,Producto 163,21,17.28,G-2
Almacen 12,Producto 164,69,12.26,H-3
Almacen 12,Producto 165,71,18.33,C-8
Almacen 12,Producto 166,84,15.53,E-4
Almacen 12,Producto 167,79,2.21,C-3
Almacen 12,Producto 168,86,12.56,G-6
Almacen 12,Producto 169,44,1.68,A-2
Almacen 12,Producto 170,12,14.53,G-8
Almacen 12,Producto 171,56,9.33,C-5
Almacen 12,Producto 172,40,15.16,H-1
Almacen 12,Producto 173,66,11.12,D-6
Almacen 12,Producto 174,59,28.13,F-4
Almacen 12,Producto 175,29,9.47,A-8
Almacen 12,Producto 176,36,5.08,C-4
Almacen 12,Producto 177,33,13.62,D-6
Almacen 12,Producto 178,76,25.9,H-2
Almacen 12,Producto 179,10,15.47,A-6
Almacen 12,Producto 180,35,27.03,B-5
Almacen 12,Producto 181,99,25.53,D-8
Almacen 12,Producto 182,46,14.47,A-2
Almacen 12,Producto 183,30,19.15,B-7
Almacen 12,Producto 184,68,16.52,C-4
Almacen 12,Producto 185,40,26.01,C-6
Almacen 12,Producto 186,41,5.87,H-8
Almacen 12,Producto 187,91,27.18,C-6
Almacen 12,Producto 188,74,10.14,A-5
Almacen 12,Producto 189,37,20.85,A-5
Almacen 12,Producto 190,70,5.69,D-5
Almacen 12,Producto 191,11,19.21,B-6
Almacen 12,Producto 192,46,3.53,D-8
Almacen 12,Producto 193,69,26.71,D-4
Almacen 12,Producto 194,98,3.04,C-3
Almacen 12,Producto 195,85,23.49,F-4
Almacen 12,Producto 196,80,24.33,E-7
Almacen 12,Producto 197,0,5.0,H-1
Almacen 12,Producto 198,51,16.54,C-1
Almacen 12,Producto 199,15,11.09,E-4
Almacen 12,Producto 200,99,16.75,E-6
Almacen 12,Producto 201,18,15.19,D-2
Almacen 12,Producto 202,8,20.7,B-4
Almacen 12,Producto 203,71,6.86,C-2
Almacen 12,Producto 204,77,27.21,G-1
Almacen 12,Producto 205,31,25.99,G-2
Almacen 12,Producto 206,57,16.55,B-8
Almacen 12,Producto 207,92,13.75,D-5
Almacen 12,Producto 208,60,22.91,G-7
Almacen 12,Producto 209,17,15.84,G-7
Almacen 12,Producto 210,85,7.14,E-3
Almacen 12,Producto 211,8,29.03,C-6
Almacen 12,Producto 212,53,21.56,D-2
Almacen 12,Producto 213,92,23.02,G-8
Almacen 12,Producto 214,81,21.15,D-4
Almacen 12,Producto 215,56,11.65,H-8
Almacen 12,Producto 216,10,18.64,F-1
Almacen 12,Producto 217,20,23.08,D-6
Almacen 12,Producto 218,14,23.56,C-8
Almacen 12,Producto 219,8,15.75,H-4
Almacen 12,Producto 220,51,14.98,D-8
Almacen 12,Producto 221,19,20.57,D-2
Almacen 12,Producto 222,59,8.97,D-3
Almacen 12,Producto 223,81,18.52,C-7
Almacen 12,Producto 224,36,22.54,D-3
Almacen 12,Producto 225,65,16.75,F-5
Almacen 12,Producto 226,98,13.61,A-1
Almacen 12,Producto 227,40,23.6,F-6
Almacen 12,Producto 228,47,9.92,G-1
Almacen 12,Producto 229,87,27.09,B-6
Almacen 12,Producto 230,23,27.3,D-8
Almacen 12,Producto 231,97,28.53,C-2
Almacen 12,Producto 232,59,2.0,H-3
Almacen 12,Producto 233,61,22.09,D-7
Almacen 12,Producto 234,34,8.14,D-1
Almacen 12,Producto 235,50,26.71,G-3
Almacen 12,Producto 236,66,23.12,B-8
Almacen 12,Producto 237,46,22.61,G-4
Almacen 12,Producto 238,53,2.86,H-4
Almacen 12,Producto 239,35,17.4,D-7
Almacen 12,Producto 240,40,19.1,D-6
Almacen 12,Producto 241,0,1.96,D-3
Almacen 12,Producto 242,41,20.93,C-8
Almacen 12,Producto 243,89,13.97,A-4
Almacen 12,Producto 244,14,24.58,E-3
Almacen 12,Producto 245,14,12.33,G-6
Almacen 12,Producto 246,43,26.47,D-7
Almacen 12,Producto 247,94,6.9,G-1
Almacen 12,Producto 248,45,26.22,A-1
Almacen 12,Producto 249,25,27.47,C-6
Almacen 12,Producto 250,6,20.3,C-1
Almacen 12,Producto 251,28,11.76,A-4
Almacen 12,Producto 252,3,14.63,D-1
Almacen 12,Producto 253,96,9.85,A-4
Almacen 12,Producto 254,81,15.22,E-6
Almacen 12,Producto 255,41,16.09,D-3
Almacen 12,Producto 256,70,10.92,C-8
Almacen 12,Producto 257,78,20.22,C-8
Almacen 12,Producto 258,47,24.19,H-2
Almacen 12,Producto 259,0,9.9,D-1
Almacen 12,Producto 260,40,14.81,H-6
Almacen 12,Producto 261,89,13.95,B-4
Almacen 12,Producto 262,80,16.26,C-2
Almacen 12,Producto 263,59,25.1,F-5
Almacen 12,Producto 264,61,26.73,H-8
Almacen 12,Producto 265,0,8.13,A-3
Almacen 12,Producto 266,69,29.17,H-2
Almacen 12,Producto 267,14,9.79,B-1
Almacen 12,Producto 268,65,9.99,A-3
Almacen 12,Producto 269,58,9.94,D-1
Almacen 12,Producto 270,64,9.61,G-4
Almacen 12,Producto 271,6,29.13,D-3
Almacen 12,Producto 272,90,13.22,G-8
Almacen 12,Producto 273,88,16.31,D-4
Almacen 12,Producto 274,95,26.68,H-2
Almacen 12,Producto 275,73,26.82,E-3
Almacen 12,Producto 276,3,18.54,A-7
Almacen 12,Producto 277,82,29.39,A-1
Almacen 12,Producto 278,26,28.11,C-7
Almacen 12,Producto 279,6,15.37,A-1
Almacen 12,Producto 280,99,2.27,G-6
Almacen 12,Producto 281,1,13.17,D-3
Almacen 12,Producto 282,88,4.58,C-8
Almacen 12,Producto 283,46,10.62,F-1
Almacen 12,Producto 284,66,6.67,G-5
Almacen 12,Producto 285,59,23.57,D-8
Almacen 12,Producto 286,78,15.45,G-8
Almacen 12,Producto 287,55,17.66,D-7
Almacen 12,Producto 288,93,24.77,E-5
Almacen 12,Producto 289,38,21.46,D-5
Almacen 12,Producto 290,95,9.88,C-6
Almacen 12,Producto 291,20,2.69,D-4
Almacen 12,Producto 292,72,2.57,A-5
Almacen 12,Producto 293,98,8.81,G-5
Almacen 12,Producto 294,12,19.55,F-1
Almacen 12,Producto 295,88,12.65,E-8
Almacen 12,Producto 296,79,19.74,E-1
Almacen 12,Producto 297,32,11.57,G-1
Almacen 12,Producto 298,37,4.26,B-4
Almacen 12,Producto 299,96,28.26,G-4
Almacen 12,Producto 300,6,23.29,D-4
Almacen 12,Producto 301,51,3.43,H-1
Almacen 12,Producto 302,68,2.98,D-6
Almacen 12,Producto 303,99,15.65,C-6
Almacen 12,Producto 304,10,3.09,C-6
Almacen 12,Producto 305,42,14.6,A-1
Almacen 12,Producto 306,30,5.09,F-4
Almacen 12,Producto 307,10,23.7,F-7
Almacen 12,Producto 308,5,17.22,D-4
Almacen 12,Producto 309,43,24.12,D-1
Almacen 12,Producto 310,88,18.94,H-8
Almacen 12,Producto 311,83,13.06,D-1
Almacen 12,Producto 312,4,1.35,D-6
Almacen 12,Producto 313,53,9.75,D-1
Almacen 12,Producto 314,26,3.17,E-3
Almacen 12,Producto 315,87,8.44,G-1
Almacen 12,Producto 316,27,17.51,G-2
Almacen 12,Producto 317,10,2.0,H-4
Almacen 12,Producto 318,61,7.98,D-4
Almacen 12,Producto 319,96,8.14,C-4
Almacen 12,Producto 320,44,25.88,D-1
Almacen 12,Producto 321,7,17.8,H-6
Almacen 12,Producto 322,70,4.89,B-7
Almacen 12,Producto 323,90,28.03,B-4
Almacen 12,Producto 324,27,24.42,E-6
Almacen 12,Producto 325,27,29.79,G-1
Almacen 12,Producto 326,64,29.94,C-7
Almacen 12,Producto 327,40,23.54,H-7
Almacen 12,Producto 328,86,19.2,H-1
Almacen 12,Producto 329,39,4.89,E-7
Almacen 12,Producto 330,39,12.17,G-3
Almacen 12,Producto 331,42,22.52,B-6
Almacen 12,Producto 332,23,18.65,D-5
Almacen 12,Producto 333,10,20.5,B-6
Almacen 12,Producto 334,71,23.05,C-3
Almacen 12,Producto 335,91,10.71,C-1
Almacen 12,Producto 336,25,15.75,C-8
Almacen 12,Producto 337,67,12.23,B-4
Almacen 12,Producto 338,13,9.93,E-3
Almacen 12,Producto 339,72,5.38,D-2
Almacen 12,Producto 340,24,24.02,G-4
Almacen 12,Producto 341,81,24.37,G-6
Almacen 12,Producto 342,42,13.04,G-5
Almacen 12,Producto 343,44,5.97,B-6
Almacen 12,Producto 344,62,27.88,H-1
Almacen 12,Producto 345,55,28.84,H-6
Almacen 12,Producto 346,78,2.15,D-3
Almacen 12,Producto 347,78,26.12,F-1
Almacen 12,Producto 348,83,19.22,F-3
Almacen 12,Producto 349,90,17.56,B-2
Almacen 12,Producto 350,88,3.51,D-6
Almacen 12,Producto 351,0,6.84,H-2
Almacen 12,Producto 352,91,29.22,E-1
Almacen 12,Producto 353,91,29.89,D-2
Almacen 12,Producto 354,91,2.88,D-5
Almacen 12,Producto 355,89,22.39,H-5
Almacen 12,Producto 356,56,17.66,A-2
Almacen 12,Producto 357,25,23.98,F-6
Almacen 12,Producto 358,92,5.37,E-7
Almacen 12,Producto 359,7,3.81,C-6
Almacen 12,Producto 360,26,25.1,A-8
Almacen 12,Producto 361,31,3.9,G-5
Almacen 12,Producto 362,96,24.38,A-4
Almacen 12,Producto 363,99,8.51,G-6
Almacen 12,Producto 364,80,7.1,G-1
Almacen 12,Producto 365,84,17.41,B-1
Almacen 12,Producto 366,59,7.4,C-7
Almacen 12,Producto 367,48,2.77,G-1
Almacen 12,Producto 368,31,17.6,H-5
Almacen 12,Producto 369,92,23.61,H-3
Almacen 12,Producto 370,22,20.07,F-2
Almacen 12,Producto 371,0,11.68,G-5
Almacen 12,Producto 372,38,26.05,E-2
Almacen 12,Producto 373,55,20.73,B-3
Almacen 12,Producto 374,38,12.52,A-6
Almacen 12,Producto 375,42,3.82,H-6
Almacen 12,Producto 376,52,23.69,C-1
Almacen 12,Producto 377,8,28.68,H-1
Almacen 12,Producto 378,81,21.95,A-4
Almacen 12,Producto 379,56,10.56,G-4
Almacen 12,Producto 380,79,22.73,E-8
Almacen 12,Producto 381,6,10.46,E-1
Almacen 12,Producto 382,58,24.92,C-4
Almacen 12,Producto 383,57,14.7,B-2
Almacen 12,Producto 384,4,26.48,D-4
Almacen 12,Producto 385,84,24.52,D-7
Almacen 12,Producto 386,53,13.65,A-1
Almacen 12,Producto 387,43,15.34,D-5
Almacen 12,Producto 388,95,21.42,B-6
Almacen 12,Producto 389,35,8.63,H-5
Almacen 12,Producto 390,32,17.12,B-1
Almacen 12,Producto 391,18,2.54,C-2
Almacen 12,Producto 392,9,22.37,B-1
Almacen 12,Producto 393,49,18.98,H-3
Almacen 12,Producto 394,23,25.14,A-4
Almacen 12,Producto 395,87,23.62,B-5
Almacen 12,Producto 396,90,26.7,E-7
Almacen 12,Producto 397,78,25.45,E-2
Almacen 12,Producto 398,16,2.67,G-5
Almacen 12,Producto 399,46,29.56,F-4
Almacen 12,Producto 400,97,2.82,F-5
Almacen 12,Producto 401,16,12.31,B-8
Almacen 12,Producto 402,5,6.25,C-2
Almacen 12,Producto 403,78,18.58,D-8
Almacen 12,Producto 404,5,1.06,F-8
Almacen 12,Producto 405,57,10.38,H-1
Almacen 12,Producto 406,43,13.71,H-8
Almacen 12,Producto 407,73,14.79,A-5
Almacen 12,Producto 408,3,13.97,H-6
Almacen 12,Producto 409,35,22.56,F-7
Almacen 12,Producto 410,91,12.17,H-2
Almacen 12,Producto 411,47,7.12,B-2
Almacen 12,Producto 412,34,15.96,D-2
Almacen 12,Producto 413,79,28.58,G-5
Almacen 12,Producto 414,4,12.87,C-8
Almacen 12,Producto 415,68,6.6,B-8
Almacen 12,Producto 416,33,29.05,A-1
Almacen 12,Producto 417,11,17.79,E-7
Almacen 12,Producto 418,24,27.56,A-5
Almacen 12,Producto 419,97,14.14,F-7
Almacen 12,Producto 420,52,5.22,E-7
Almacen 12,Producto 421,51,4.65,B-2
Almacen 12,Producto 422,4,3.53,E-2
Almacen 12,Producto 423,21,18.67,H-8
Almacen 12,Producto 424,47,19.68,B-1
Almacen 12,Producto 425,70,14.45,D-6
Almacen 12,Producto 426,66,5.76,F-5
Almacen 12,Producto 427,16,9.84,E-2
Almacen 12,Producto 428,31,2.55,B-7
Almacen 12,Producto 429,24,13.27,D-3
Almacen 12,Producto 430,22,4.77,B-5
Almacen 12,Producto 431,84,2.59,B-1
Almacen 12,Producto 432,5,8.12,C-8
Almacen 12,Producto 433,68,17.23,C-8
Almacen 12,Producto 434,95,17.55,A-1
Almacen 12,Producto 435,65,8.22,A-3
Almacen 12,Producto 436,33,21.07,G-7
Almacen 12,Producto 437,15,7.9,C-1
Almacen 12,Producto 438,45,17.03,B-6
Almacen 12,Producto 439,92,20.29,H-7
Almacen 12,Producto 440,1,8.2,C-5
Almacen 12,Producto 441,27,20.36,D-3
Almacen 12,Producto 442,22,27.32,E-7
Almacen 12,Producto 443,40,4.89,C-2
Almacen 12,Producto 444,5,7.56,A-6
Almacen 12,Producto 445,91,6.04,D-1
Almacen 12,Producto 446,82,12.91,C-5
Almacen 12,Producto 447,17,22.91,F-3
Almacen 12,Producto 448,12,15.59,B-2
Almacen 12,Producto 449,28,20.28,B-5
Almacen 12,Producto 450,78,16.16,H-6
Almacen 12,Producto 451,57,27.04,C-5
Almacen 12,Producto 452,47,22.12,H-7
Almacen 12,Producto 453,95,3.31,D-4
Almacen 12,Producto 454,16,25.21,G-7
Almacen 12,Producto 455,69,12.18,H-7
Almacen 12,Producto 456,52,20.01,E-4
Almacen 12,Producto 457,70,16.27,B-5
Almacen 12,Producto 458,39,5.62,G-8
Almacen 12,Producto 459,11,7.93,E-5
Almacen 12,Producto 460,70,29.4,B-1
Almacen 12,Producto 461,49,7.96,B-5
Almacen 12,Producto 462,47,22.03,A-3
Almacen 12,Producto 463,58,11.64,C-3
Almacen 12,Producto 464,30,4.2,F-7
Almacen 12,Producto 465,75,2.02,D-7
Almacen 12,Producto 466,55,19.5,B-7
Almacen 12,Producto 467,19,11.17,D-5
Almacen 12,Producto 468,55,25.16,G-3
Almacen 12,Producto 469,25,10.82,E-3
Almacen 12,Producto 470,92,13.51,F-7
Almacen 12,Producto 471,90,13.51,E-2
Almacen 12,Producto 472,55,21.45,G-4
Almacen 12,Producto 473,68,28.51,E-5
Almacen 12,Producto 474,65,19.22,H-5
Almacen 12,Producto 475,92,1.55,H-2
Almacen 12,Producto 476,57,14.62,F-1
Almacen 12,Producto 477,95,23.19,A-4
Almacen 12,Producto 478,23,29.66,E-6
Almacen 12,Producto 479,41,3.7,D-7
Almacen 12,Producto 480,23,10.58,F-6
Almacen 12,Producto 481,10,14.0,D-4
Almacen 12,Producto 482,92,22.09,F-2
Almacen 12,Producto 483,31,23.51,A-1
Almacen 12,Producto 484,67,11.44,G-5
Almacen 12,Producto 485,24,23.62,G-4
Almacen 12,Producto 486,94,8.28,H-7
Almacen 12,Producto 487,30,2.23,E-2
Almacen 12,Producto 488,41,15.66,G-6
Almacen 12,Producto 489,55,17.91,G-8
Almacen 12,Producto 490,94,22.06,F-6
Almacen 12,Producto 491,67,7.06,E-1
Almacen 12,Producto 492,75,3.28,G-5
Almacen 12,Producto 493,65,29.93,A-5
Almacen 12,Producto 494,79,7.63,G-5
Almacen 12,Producto 495,76,28.71,G-5
Almacen 12,Producto 496,40,5.73,G-3
Almacen 12,Producto 497,20,10.7,A-8
Almacen 12,Producto 498,70,9.02,C-6
Almacen 12,Producto 499,94,14.23,C-4
Almacen 12,Producto 500,27,9.33,H-5
Almacen 12,Producto 501,82,28.74,C-8
Almacen 12,Producto 502,4,12.35,E-3
Almacen 12,Producto 503,75,6.98,C-4
Almacen 12,Producto 504,47,26.05,D-4
Almacen 12,Producto 505,65,10.15,H-6
Almacen 12,Producto 506,33,10.95,B-2
Almacen 12,Producto 507,42,23.72,E-3
Almacen 12,Producto 508,23,6.09,G-2
Almacen 12,Producto 509,24,19.68,E-2
Almacen 12,Producto 510,43,7.07,F-1
Almacen 12,Producto 511,16,1.25,E-4
Almacen 12,Producto 512,74,15.14,A-8
Almacen 12,Producto 513,83,24.25,D-7
Almacen 12,Producto 514,85,13.3,A-1
Almacen 12,Producto 515,92,28.68,B-2
Almacen 12,Producto 516,19,19.36,D-3
Almacen 12,Producto 517,89,8.55,F-8
Almacen 12,Producto 518,29,24.23,H-7
Almacen 12,Producto 519,34,15.72,B-5
Almacen 12,Producto 520,82,25.05,B-8
Almacen 12,Producto 521,63,27.17,H-6
Almacen 12,Producto 522,83,3.04,C-4
Almacen 12,Producto 523,89,9.91,G-6
Almacen 12,Producto 524,39,29.09,C-1
Almacen 12,Producto 525,43,21.22,E-1
Almacen 12,Producto 526,40,2.75,A-6
Almacen 12,Producto 527,76,2.14,C-1
Almacen 12,Producto 528,63,2.82,D-1
Almacen 12,Producto 529,25,24.06,B-3
Almacen 12,Producto 530,99,8.0,G-8
Almacen 12,Producto 531,85,23.7,B-8
Almacen 12,Producto 532,58,15.13,H-3
Almacen 12,Producto 533,83,17.13,C-7
Almacen 12,Producto 534,79,3.39,C-3
Almacen 12,Producto 535,41,25.39,D-2
Almacen 12,Producto 536,11,17.25,B-3
Almacen 12,Producto 537,32,6.09,B-8
Almacen 12,Producto 538,46,23.6,D-5
Almacen 12,Producto 539,25,21.25,E-1
Almacen 12,Producto 540,77,12.96,C-8
Almacen 12,Producto 541,39,28.05,C-2
Almacen 12,Producto 542,63,12.28,G-8
Almacen 12,Producto 543,74,19.09,A-8
Almacen 12,Producto 544,54,7.1,D-6
Almacen 12,Producto 545,13,13.15,E-2
Almacen 12,Producto 546,65,11.62,E-5
Almacen 12,Producto 547,7,11.16,E-3
Almacen 12,Producto 548,24,1.65,C-8
Almacen 12,Producto 549,73,19.71,E-4
Almacen 12,Producto 550,83,22.64,A-3
Almacen 12,Producto 551,49,5.09,F-5
Almacen 12,Producto 552,29,20.43,F-2
Almacen 12,Producto 553,90,5.25,E-4
Almacen 12,Producto 554,68,7.99,A-7
Almacen 12,Producto 555,19,29.19,B-5
Almacen 12,Producto 556,6,17.39,A-8
Almacen 12,Producto 557,84,22.61,D-8
Almacen 12,Producto 558,86,15.66,D-4
Almacen 12,Producto 559,9,21.45,E-2
Almacen 12,Producto 560,88,28.31,B-8
Almacen 12,Producto 561,5,1.55,B-1
Almacen 12,Producto 562,96,14.63,E-2
Almacen 12,Producto 563,96,2.12,B-5
Almacen 12,Producto 564,14,8.3,F-5
Almacen 12,Producto 565,2,14.43,F-7
Almacen 12,Producto 566,93,10.7,G-1
Almacen 12,Producto 567,85,15.72,F-7
Almacen 12,Producto 568,29,15.82,A-8
Almacen 12,Producto 569,45,1.68,C-6
Almacen 12,Producto 570,4,21.22,G-3
Almacen 12,Producto 571,85,21.42,H-4
Almacen 12,Producto 572,62,10.4,C-7
Almacen 12,Producto 573,0,26.11,H-6
Almacen 12,Producto 574,87,21.77,D-8
Almacen 12,Producto 575,41,27.68,A-7
Almacen 12,Producto 576,93,1.94,H-7
Almacen 12,Producto 577,73,1.49,C-5
Almacen 12,Producto 578,45,19.49,D-6
Almacen 12,Producto 579,79,4.19,C-7
Almacen 12,Producto 580,41,15.67,C-1
Almacen 12,Producto 581,36,9.85,E-4
Almacen 12,Producto 582,90,26.37,B-4
Almacen 12,Producto 583,86,15.7,E-5
Almacen 12,Producto 584,22,28.63,G-5
Almacen 12,Producto 585,88,24.39,F-5
Almacen 12,Producto 586,17,5.83,E-7
Almacen 12,Producto 587,79,10.07,E-5
Almacen 12,Producto 588,100,2.49,E-7
Almacen 12,Producto 589,27,29.26,B-5
Almacen 12,Producto 590,51,5.59,G-7
Almacen 12,Producto 591,83,23.92,A-3
Almacen 12,Producto 592,23,28.89,C-4
Almacen 12,Producto 593,100,6.21,H-4
Almacen 12,Producto 594,40,16.55,A-4
Almacen 12,Producto 595,67,18.9,F-6
Almacen 12,Producto 596,98,4.47,G-7
Almacen 12,Producto 597,85,27.55,H-5
Almacen 12,Producto 598,93,14.51,F-1
Almacen 12,Producto 599,42,28.58,F-6
Almacen 12,Producto 600,62,10.76,F-1
Almacen 12,Producto 601,58,27.81,C-1
Almacen 12,Producto 602,10,22.63,E-2
Almacen 12,Producto 603,11,18.66,E-2
Almacen 12,Producto 604,14,21.17,E-4
Almacen 12,Producto 605,6,23.39,C-8
Almacen 12,Producto 606,54,10.66,B-4
Almacen 12,Producto 607,75,16.78,F-1
Almacen 12,Producto 608,43,27.27,C-4
Almacen 12,Producto 609,84,18.49,B-3
Almacen 12,Producto 610,60,19.36,F-6
Almacen 12,Producto 611,45,11.13,B-3
Almacen 12,Producto 612,30,18.62,B-2
Almacen 12,Producto 613,62,2.16,F-6
Almacen 12,Producto 614,48,23.82,G-8
Almacen 12,Producto 615,28,9.76,G-8
Almacen 12,Producto 616,45,29.86,E-2
Almacen 12,Producto 617,37,19.15,G-6
Almacen 12,Producto 618,71,23.72,G-3
Almacen 12,Producto 619,53,7.17,G-7
Almacen 12,Producto 620,20,8.14,F-3
Almacen 12,Producto 621,24,3.56,E-5
Almacen 12,Producto 622,20,11.83,A-4
Almacen 12,Producto 623,52,1.29,G-2
Almacen 12,Producto 624,100,15.3,G-8
Almacen 12,Producto 625,100,5.96,G-1
Almacen 12,Producto 626,8,17.87,E-4
Almacen 12,Producto 627,30,4.06,H-3
Almacen 12,Producto 628,7,9.79,H-3
Almacen 12,Producto 629,48,27.05,H-4
Almacen 12,Producto 630,74,21.38,E-6
Almacen 12,Producto 631,99,22.29,E-3
Almacen 12,Producto 632,97,13.54,A-4
Almacen 12,Producto 633,97,21.64,C-4
Almacen 12,Producto 634,53,28.88,E-5
Almacen 12,Producto 635,23,20.82,A-5
Almacen 12,Producto 636,66,25.9,B-7
Almacen 12,Producto 637,64,27.77,A-8
Almacen 12,Producto 638,36,27.42,C-4
Almacen 12,Producto 639,6,13.74,H-6
Almacen 12,Producto 640,64,17.22,F-7
Almacen 12,Producto 641,18,18.66,A-5
Almacen 12,Producto 642,65,15.59,C-4
Almacen 12,Producto 643,48,1.43,F-4
Almacen 12,Producto 644,99,8.0,C-6
Almacen 12,Producto 645,18,25.49,B-6
Almacen 12,Producto 646,86,1.05,F-6
Almacen 12,Producto 647,31,12.22,A-2
Almacen 12,Producto 648,4,3.45,D-2
