empresa,producto,materiales,costo,fechaInicio
Empresa 9,Producto 242,"['Acero 1', 'Cobre 2', 'Fibra de Carbono 3', 'Acero 4']",145.46,2017-02-24
Empresa 61,Producto 243,"['Cerámica 1', 'Acero 2']",50.23,2015-08-01
Empresa 105,Producto 244,"['Fibra de Carbono 1', 'Plastico 2', 'Acero 3', 'Plastico 4', 'Acero 5']",112.48,2017-07-14
Empresa 45,Producto 245,"['Aluminio 1', 'Grafeno 2', 'Cobre 3', 'Acero 4', 'Plastico 5']",52.82,2018-12-28
Empresa 136,Producto 246,"['Acero 1', 'Cerámica 2', 'Cobalto 3']",127.61,2019-06-12
Empresa 47,Producto 247,"['Plastico 1', 'Cobalto 2', 'Cobalto 3', 'Fibra de Carbono 4', 'Fibra de Carbono 5']",81.36,2019-04-13
Empresa 29,Producto 248,"['Níquel 1', 'Cobre 2', 'Silicón 3']",50.87,2015-11-28
Empresa 52,Producto 249,"['Fibra de Carbono 1', 'Cobre 2', 'Grafeno 3']",59.85,2017-09-30
Empresa 46,Producto 250,"['Fibra de Carbono 1', 'Acero 2', 'Aluminio 3']",103.23,2017-05-20
Empresa 79,Producto 251,"['Fibra de Carbono 1', 'Fibra de Carbono 2']",93.25,2018-12-21
Empresa 11,Producto 252,"['Cobre 1', 'Cobre 2', 'Acero 3', 'Cobre 4']",142.5,2015-11-19
Empresa 146,Producto 253,"['Níquel 1', 'Fibra de Carbono 2', 'Acero 3']",51.83,2018-11-14
Empresa 45,Producto 254,"['Aluminio 1', 'Níquel 2', 'Aluminio 3', 'Plastico 4']",148.52,2019-12-04
Empresa 42,Producto 255,"['Silicón 1', 'Cobre 2']",126.69,2019-01-11
Empresa 191,Producto 256,"['Cobre 1', 'Grafeno 2', 'Cerámica 3']",77.06,2015-02-27
Empresa 82,Producto 257,"['Cobre 1', 'Grafeno 2']",60.94,2019-03-30
Empresa 94,Producto 258,"['Acero 1', 'Silicón 2', 'Silicón 3']",55.22,2017-06-22
Empresa 25,Producto 259,"['Grafeno 1', 'Plastico 2']",97.86,2018-02-05
Empresa 36,Producto 260,"['Cerámica 1', 'Fibra de Carbono 2', 'Níquel 3', 'Fibra de Carbono 4']",128.72,2016-08-02
Empresa 141,Producto 261,"['Cerámica 1', 'Grafeno 2', 'Aluminio 3']",143.89,2019-03-03
Empresa 154,Producto 262,"['Cobre 1', 'Silicón 2', 'Plastico 3', 'Grafeno 4', 'Cerámica 5']",149.98,2017-03-22
Empresa 189,Producto 263,"['Cobalto 1', 'Plastico 2']",115.48,2015-01-26
Empresa 31,Producto 264,"['Cobalto 1', 'Plastico 2', 'Cerámica 3']",144.56,2015-11-26
Empresa 194,Producto 265,"['Cobre 1', 'Níquel 2', 'Aluminio 3', 'Grafeno 4', 'Acero 5']",104.7,2016-09-25
Empresa 111,Producto 266,"['Silicón 1', 'Cerámica 2', 'Aluminio 3', 'Fibra de Carbono 4', 'Acero 5']",64.83,2016-12-02
Empresa 183,Producto 267,"['Grafeno 1', 'Níquel 2']",134.06,2016-04-17
Empresa 152,Producto 268,"['Níquel 1', 'Cobalto 2', 'Cobre 3', 'Fibra de Carbono 4']",73.28,2019-05-28
Empresa 168,Producto 269,"['Acero 1', 'Cerámica 2']",56.28,2015-12-15
Empresa 122,Producto 270,"['Acero 1', 'Cerámica 2', 'Silicón 3', 'Grafeno 4', 'Cobre 5']",76.05,2015-04-09
Empresa 47,Producto 271,"['Acero 1', 'Acero 2']",108.13,2018-07-12
Empresa 15,Producto 272,"['Cobre 1', 'Níquel 2', 'Níquel 3', 'Níquel 4', 'Grafeno 5']",132.35,2019-04-14
Empresa 20,Producto 273,"['Cerámica 1', 'Plastico 2']",81.03,2016-04-26
Empresa 5,Producto 274,"['Fibra de Carbono 1', 'Silicón 2', 'Cobre 3']",79.65,2017-03-27
Empresa 120,Producto 275,"['Plastico 1', 'Grafeno 2', 'Fibra de Carbono 3', 'Grafeno 4']",78.25,2018-12-18
Empresa 57,Producto 276,"['Grafeno 1', 'Níquel 2']",144.43,2018-10-27
Empresa 0,Producto 277,"['Grafeno 1', 'Cobre 2']",119.17,2019-07-31
Empresa 120,Producto 278,"['Plastico 1', 'Acero 2', 'Plastico 3', 'Fibra de Carbono 4', 'Grafeno 5']",50.71,2015-12-02
Empresa 7,Producto 279,"['Grafeno 1', 'Fibra de Carbono 2', 'Cobre 3']",114.12,2016-08-28
Empresa 137,Producto 280,"['Silicón 1', 'Silicón 2', 'Grafeno 3', 'Fibra de Carbono 4']",80.0,2019-10-12
Empresa 14,Producto 281,"['Cobre 1', 'Silicón 2', 'Plastico 3']",138.86,2018-07-29
Empresa 148,Producto 282,"['Plastico 1', 'Cobre 2', 'Cobre 3', 'Grafeno 4', 'Plastico 5']",145.94,2017-04-11
Empresa 153,Producto 283,"['Grafeno 1', 'Cobalto 2', 'Plastico 3', 'Cobre 4']",101.14,2015-06-17
Empresa 199,Producto 284,"['Grafeno 1', 'Acero 2', 'Cerámica 3']",107.78,2019-01-04
Empresa 105,Producto 285,"['Silicón 1', 'Acero 2', 'Cerámica 3', 'Grafeno 4', 'Acero 5']",94.08,2019-06-09
Empresa 157,Producto 286,"['Grafeno 1', 'Cobalto 2', 'Aluminio 3', 'Fibra de Carbono 4']",144.91,2016-12-26
Empresa 27,Producto 287,"['Cobre 1', 'Grafeno 2']",112.88,2015-10-07
Empresa 57,Producto 288,"['Aluminio 1', 'Acero 2', 'Níquel 3']",95.27,2015-07-21
Empresa 185,Producto 289,"['Cerámica 1', 'Cobre 2', 'Cobre 3', 'Acero 4', 'Cobre 5']",78.46,2015-03-13
Empresa 36,Producto 290,"['Cobre 1', 'Cobre 2', 'Grafeno 3']",85.69,2018-05-12
Empresa 18,Producto 291,"['Silicón 1', 'Cobre 2']",110.42,2018-03-10
Empresa 186,Producto 292,"['Grafeno 1', 'Níquel 2']",52.42,2015-11-18
Empresa 91,Producto 293,"['Cobalto 1', 'Aluminio 2', 'Grafeno 3', 'Aluminio 4']",79.52,2015-01-28
Empresa 111,Producto 294,"['Fibra de Carbono 1', 'Cobre 2', 'Aluminio 3']",77.51,2015-04-02
Empresa 134,Producto 295,"['Grafeno 1', 'Aluminio 2', 'Silicón 3', 'Cobre 4']",107.05,2017-11-18
Empresa 181,Producto 296,"['Cobre 1', 'Plastico 2']",72.28,2019-05-24
Empresa 134,Producto 297,"['Acero 1', 'Cerámica 2']",95.54,2018-09-14
Empresa 110,Producto 298,"['Plastico 1', 'Níquel 2', 'Acero 3', 'Fibra de Carbono 4', 'Cerámica 5']",130.55,2018-02-24
Empresa 169,Producto 299,"['Cerámica 1', 'Níquel 2', 'Cobre 3']",145.54,2019-03-17
Empresa 114,Producto 300,"['Aluminio 1', 'Cobre 2', 'Plastico 3']",130.13,2015-01-28
Empresa 7,Producto 301,"['Acero 1', 'Fibra de Carbono 2', 'Plastico 3', 'Cobalto 4']",149.3,2015-09-12
Empresa 141,Producto 302,"['Fibra de Carbono 1', 'Cerámica 2', 'Acero 3', 'Grafeno 4', 'Cobre 5']",111.87,2017-10-04
Empresa 111,Producto 303,"['Plastico 1', 'Grafeno 2', 'Grafeno 3', 'Cobalto 4']",119.82,2015-04-03
Empresa 70,Producto 304,"['Níquel 1', 'Níquel 2', 'Cobre 3', 'Acero 4', 'Plastico 5']",104.13,2017-06-11
Empresa 169,Producto 305,"['Cobre 1', 'Grafeno 2', 'Silicón 3', 'Fibra de Carbono 4', 'Silicón 5']",133.45,2018-05-06
Empresa 194,Producto 306,"['Cobalto 1', 'Cobre 2', 'Cobre 3']",105.56,2017-12-03
Empresa 185,Producto 307,"['Aluminio 1', 'Silicón 2', 'Cerámica 3', 'Cerámica 4', 'Níquel 5']",106.6,2015-11-29
Empresa 57,Producto 308,"['Grafeno 1', 'Cerámica 2', 'Cerámica 3']",127.85,2017-09-15
Empresa 148,Producto 309,"['Silicón 1', 'Silicón 2']",148.04,2015-05-21
Empresa 114,Producto 310,"['Grafeno 1', 'Fibra de Carbono 2']",62.26,2016-06-12
Empresa 3,Producto 311,"['Níquel 1', 'Plastico 2', 'Níquel 3', 'Cobre 4', 'Cobre 5']",76.31,2016-04-02
Empresa 182,Producto 312,"['Cobalto 1', 'Acero 2', 'Plastico 3']",60.9,2017-09-07
Empresa 152,Producto 313,"['Aluminio 1', 'Plastico 2', 'Cerámica 3']",84.28,2016-06-22
Empresa 72,Producto 314,"['Plastico 1', 'Cerámica 2', 'Fibra de Carbono 3', 'Fibra de Carbono 4']",88.97,2015-12-10
Empresa 10,Producto 315,"['Cerámica 1', 'Fibra de Carbono 2', 'Cobre 3', 'Cerámica 4', 'Fibra de Carbono 5']",110.99,2019-06-11
Empresa 145,Producto 316,"['Cerámica 1', 'Cobre 2', 'Plastico 3', 'Cobre 4', 'Cerámica 5']",119.96,2015-05-31
Empresa 181,Producto 317,"['Plastico 1', 'Fibra de Carbono 2', 'Cerámica 3', 'Acero 4', 'Aluminio 5']",149.53,2019-06-24
Empresa 52,Producto 318,"['Plastico 1', 'Cobalto 2', 'Fibra de Carbono 3', 'Fibra de Carbono 4']",110.64,2016-10-04
Empresa 45,Producto 319,"['Cobalto 1', 'Cobre 2', 'Cerámica 3']",75.89,2016-06-05
Empresa 95,Producto 320,"['Plastico 1', 'Acero 2', 'Silicón 3', 'Cobalto 4', 'Cobre 5']",124.45,2019-07-11
Empresa 115,Producto 321,"['Níquel 1', 'Cobre 2', 'Cobre 3', 'Cobre 4']",112.47,2015-08-13
Empresa 136,Producto 322,"['Níquel 1', 'Cobre 2', 'Acero 3']",61.25,2018-07-16
Empresa 110,Producto 323,"['Plastico 1', 'Níquel 2', 'Acero 3']",73.88,2019-01-07
Empresa 189,Producto 324,"['Aluminio 1', 'Acero 2', 'Fibra de Carbono 3', 'Cobre 4']",58.53,2017-08-25
Empresa 110,Producto 325,"['Cobre 1', 'Acero 2']",127.33,2018-11-21
Empresa 161,Producto 326,"['Cobalto 1', 'Silicón 2', 'Fibra de Carbono 3']",84.74,2015-01-17
Empresa 56,Producto 327,"['Cobre 1', 'Plastico 2', 'Cobalto 3', 'Níquel 4', 'Cobalto 5']",64.02,2017-04-27
Empresa 11,Producto 328,"['Cobalto 1', 'Silicón 2', 'Cerámica 3', 'Cobalto 4']",112.43,2019-10-25
Empresa 136,Producto 329,"['Grafeno 1', 'Níquel 2', 'Cobalto 3', 'Grafeno 4', 'Cobre 5']",145.14,2015-12-16
Empresa 41,Producto 330,"['Acero 1', 'Grafeno 2', 'Níquel 3', 'Cobre 4', 'Silicón 5']",90.3,2019-10-31
Empresa 122,Producto 331,"['Fibra de Carbono 1', 'Cobre 2']",138.23,2015-12-23
Empresa 63,Producto 332,"['Cobre 1', 'Cobre 2', 'Fibra de Carbono 3', 'Níquel 4']",86.01,2015-10-30
Empresa 27,Producto 333,"['Silicón 1', 'Cerámica 2']",125.11,2019-12-10
Empresa 186,Producto 334,"['Cobre 1', 'Acero 2', 'Cobalto 3', 'Níquel 4']",55.73,2019-02-13
Empresa 114,Producto 335,"['Silicón 1', 'Acero 2']",145.9,2016-02-19
Empresa 115,Producto 336,"['Acero 1', 'Cobalto 2']",80.71,2019-09-12
Empresa 132,Producto 337,"['Plastico 1', 'Silicón 2', 'Plastico 3']",96.74,2016-08-15
Empresa 170,Producto 338,"['Cobre 1', 'Cerámica 2', 'Cobre 3']",88.51,2016-07-28
Empresa 77,Producto 339,"['Silicón 1', 'Níquel 2', 'Grafeno 3', 'Silicón 4', 'Aluminio 5']",146.24,2017-07-20
Empresa 111,Producto 340,"['Aluminio 1', 'Níquel 2', 'Cerámica 3', 'Acero 4']",120.41,2015-07-22
Empresa 25,Producto 341,"['Acero 1', 'Cobre 2', 'Cobre 3', 'Cobre 4', 'Níquel 5']",112.08,2018-05-08
Empresa 123,Producto 342,"['Grafeno 1', 'Plastico 2']",123.4,2016-03-21
Empresa 27,Producto 343,"['Níquel 1', 'Grafeno 2', 'Cerámica 3', 'Cobre 4', 'Silicón 5']",109.54,2015-01-05
Empresa 152,Producto 344,"['Silicón 1', 'Silicón 2', 'Acero 3', 'Cerámica 4']",148.76,2018-02-27
Empresa 154,Producto 345,"['Níquel 1', 'Plastico 2', 'Grafeno 3', 'Plastico 4', 'Níquel 5']",53.62,2019-01-08
Empresa 127,Producto 346,"['Cerámica 1', 'Cobalto 2', 'Acero 3', 'Fibra de Carbono 4']",51.19,2016-07-19
Empresa 70,Producto 347,"['Cobalto 1', 'Plastico 2', 'Silicón 3', 'Níquel 4', 'Cobre 5']",103.21,2016-06-12
Empresa 7,Producto 348,"['Acero 1', 'Plastico 2', 'Cerámica 3', 'Cerámica 4']",78.44,2015-08-03
Empresa 20,Producto 349,"['Grafeno 1', 'Níquel 2', 'Cobre 3']",130.8,2016-03-22
Empresa 34,Producto 350,"['Acero 1', 'Silicón 2', 'Grafeno 3']",108.67,2015-02-25
Empresa 56,Producto 351,"['Silicón 1', 'Grafeno 2']",97.05,2018-02-17
Empresa 24,Producto 352,"['Cobre 1', 'Grafeno 2', 'Cerámica 3']",72.61,2016-04-07
Empresa 20,Producto 353,"['Cerámica 1', 'Níquel 2', 'Grafeno 3', 'Fibra de Carbono 4', 'Cerámica 5']",105.82,2018-09-12
Empresa 169,Producto 354,"['Fibra de Carbono 1', 'Cobre 2', 'Grafeno 3', 'Silicón 4', 'Plastico 5']",131.08,2015-12-28
Empresa 132,Producto 355,"['Cobalto 1', 'Cobre 2']",136.58,2015-02-09
Empresa 34,Producto 356,"['Níquel 1', 'Plastico 2', 'Grafeno 3', 'Cerámica 4']",137.16,2016-06-05
Empresa 41,Producto 357,"['Cobre 1', 'Cobre 2', 'Silicón 3', 'Cobre 4']",60.91,2017-04-16
Empresa 70,Producto 358,"['Plastico 1', 'Fibra de Carbono 2', 'Fibra de Carbono 3', 'Cobre 4']",56.77,2015-10-19
Empresa 193,Producto 359,"['Cerámica 1', 'Fibra de Carbono 2', 'Acero 3', 'Fibra de Carbono 4']",98.45,2017-09-20
Empresa 194,Producto 360,"['Níquel 1', 'Grafeno 2']",84.31,2018-12-18
Empresa 82,Producto 361,"['Cobalto 1', 'Cobre 2', 'Plastico 3', 'Cobalto 4']",136.38,2018-08-05
Empresa 29,Producto 362,"['Silicón 1', 'Grafeno 2', 'Aluminio 3', 'Cobre 4', 'Fibra de Carbono 5']",67.26,2017-05-10
Empresa 162,Producto 363,"['Fibra de Carbono 1', 'Acero 2', 'Cobre 3', 'Cobalto 4']",113.68,2018-07-15
Empresa 127,Producto 364,"['Grafeno 1', 'Cerámica 2']",107.34,2017-03-27
Empresa 170,Producto 365,"['Cobre 1', 'Níquel 2', 'Silicón 3', 'Cerámica 4']",90.87,2016-05-20
Empresa 148,Producto 366,"['Plastico 1', 'Silicón 2']",93.14,2016-09-25
Empresa 29,Producto 367,"['Cobre 1', 'Cerámica 2']",56.24,2017-08-20
Empresa 5,Producto 368,"['Cobre 1', 'Cobalto 2']",50.77,2018-02-15
Empresa 72,Producto 369,"['Grafeno 1', 'Cerámica 2', 'Cobalto 3', 'Cerámica 4']",136.43,2015-01-03
Empresa 10,Producto 370,"['Acero 1', 'Níquel 2', 'Grafeno 3', 'Silicón 4', 'Acero 5']",125.81,2016-10-04
Empresa 105,Producto 371,"['Cobalto 1', 'Acero 2', 'Acero 3']",82.59,2017-12-14
Empresa 21,Producto 372,"['Aluminio 1', 'Acero 2', 'Silicón 3', 'Plastico 4', 'Cobre 5']",129.38,2015-08-03
Empresa 92,Producto 373,"['Cobre 1', 'Fibra de Carbono 2', 'Cerámica 3']",147.32,2019-10-09
Empresa 72,Producto 374,"['Aluminio 1', 'Plastico 2']",124.23,2018-08-27
Empresa 94,Producto 375,"['Plastico 1', 'Níquel 2', 'Silicón 3', 'Cobalto 4', 'Acero 5']",64.17,2016-02-05
Empresa 132,Producto 376,"['Fibra de Carbono 1', 'Fibra de Carbono 2', 'Grafeno 3', 'Cobre 4', 'Cobre 5']",135.88,2019-08-20
Empresa 191,Producto 377,"['Plastico 1', 'Cobalto 2', 'Níquel 3']",76.81,2015-04-09
Empresa 189,Producto 378,"['Acero 1', 'Silicón 2', 'Cobalto 3', 'Cobre 4', 'Silicón 5']",52.9,2016-05-27
Empresa 77,Producto 379,"['Plastico 1', 'Cerámica 2', 'Aluminio 3']",116.08,2019-06-30
Empresa 58,Producto 380,"['Grafeno 1', 'Fibra de Carbono 2', 'Cobalto 3', 'Acero 4', 'Aluminio 5']",93.65,2016-06-07
Empresa 157,Producto 381,"['Silicón 1', 'Silicón 2', 'Cerámica 3']",147.0,2016-05-27
Empresa 139,Producto 382,"['Grafeno 1', 'Silicón 2', 'Cobre 3']",95.41,2015-04-01
Empresa 31,Producto 383,"['Níquel 1', 'Acero 2', 'Cerámica 3']",122.45,2018-01-30
Empresa 52,Producto 384,"['Silicón 1', 'Níquel 2', 'Plastico 3', 'Cobalto 4']",66.48,2018-06-04
Empresa 152,Producto 385,"['Silicón 1', 'Cobre 2']",110.07,2019-01-30
Empresa 15,Producto 386,"['Cobalto 1', 'Cerámica 2', 'Cobre 3', 'Níquel 4', 'Cerámica 5']",139.46,2017-07-02
Empresa 162,Producto 387,"['Níquel 1', 'Cerámica 2', 'Cobre 3', 'Silicón 4']",77.64,2018-10-30
Empresa 171,Producto 388,"['Plastico 1', 'Níquel 2', 'Cobre 3', 'Grafeno 4']",127.53,2015-04-27
Empresa 118,Producto 389,"['Cobre 1', 'Fibra de Carbono 2', 'Grafeno 3', 'Plastico 4', 'Acero 5']",99.51,2016-06-28
Empresa 27,Producto 390,"['Silicón 1', 'Plastico 2', 'Plastico 3', 'Silicón 4', 'Silicón 5']",61.99,2016-08-28
Empresa 127,Producto 391,"['Acero 1', 'Níquel 2']",144.44,2017-10-24
Empresa 169,Producto 392,"['Cobalto 1', 'Cobre 2', 'Cobre 3']",70.13,2016-04-04
Empresa 194,Producto 393,"['Níquel 1', 'Aluminio 2', 'Aluminio 3']",138.23,2017-08-08
Empresa 110,Producto 394,"['Aluminio 1', 'Cobre 2', 'Cobre 3']",107.63,2018-12-11
Empresa 134,Producto 395,"['Aluminio 1', 'Fibra de Carbono 2', 'Cobre 3', 'Fibra de Carbono 4', 'Aluminio 5']",111.7,2018-01-02
Empresa 182,Producto 396,"['Cobalto 1', 'Níquel 2', 'Cobre 3', 'Grafeno 4']",120.32,2018-11-30
Empresa 128,Producto 397,"['Aluminio 1', 'Cobre 2']",96.87,2019-02-15
Empresa 168,Producto 398,"['Cobalto 1', 'Aluminio 2', 'Fibra de Carbono 3', 'Fibra de Carbono 4', 'Cobre 5']",89.77,2015-05-28
Empresa 46,Producto 399,"['Silicón 1', 'Cerámica 2', 'Cobalto 3']",66.0,2015-11-21
Empresa 58,Producto 400,"['Silicón 1', 'Cobre 2']",125.54,2016-06-12
Empresa 194,Producto 401,"['Silicón 1', 'Plastico 2', 'Aluminio 3']",130.29,2017-11-16
Empresa 132,Producto 402,"['Cobre 1', 'Acero 2', 'Grafeno 3']",135.19,2017-06-08
Empresa 47,Producto 403,"['Fibra de Carbono 1', 'Cobre 2']",88.12,2017-08-10
Empresa 92,Producto 404,"['Cobre 1', 'Aluminio 2', 'Aluminio 3', 'Plastico 4']",66.62,2019-05-29
Empresa 20,Producto 405,"['Cobre 1', 'Fibra de Carbono 2', 'Cobre 3', 'Acero 4']",112.92,2018-03-03
Empresa 91,Producto 406,"['Plastico 1', 'Silicón 2', 'Cobalto 3', 'Fibra de Carbono 4', 'Níquel 5']",87.76,2015-11-03
Empresa 199,Producto 407,"['Silicón 1', 'Cobalto 2', 'Plastico 3']",68.44,2016-10-31
Empresa 141,Producto 408,"['Cerámica 1', 'Cobre 2']",84.14,2016-01-23
Empresa 65,Producto 409,"['Cobre 1', 'Silicón 2', 'Níquel 3', 'Cobre 4', 'Grafeno 5']",141.53,2018-08-26
Empresa 137,Producto 410,"['Níquel 1', 'Cobalto 2', 'Cobalto 3', 'Acero 4', 'Aluminio 5']",118.41,2018-03-04
Empresa 88,Producto 411,"['Aluminio 1', 'Fibra de Carbono 2', 'Cobre 3', 'Níquel 4', 'Níquel 5']",120.67,2017-08-23
Empresa 21,Producto 412,"['Cobalto 1', 'Cobalto 2']",63.06,2019-03-14
Empresa 0,Producto 413,"['Plastico 1', 'Silicón 2', 'Silicón 3']",145.43,2018-02-17
Empresa 31,Producto 414,"['Silicón 1', 'Aluminio 2']",52.0,2016-12-17
Empresa 58,Producto 415,"['Acero 1', 'Cerámica 2']",110.66,2015-11-09
Empresa 88,Producto 416,"['Plastico 1', 'Níquel 2', 'Acero 3', 'Grafeno 4']",95.26,2015-08-13
Empresa 41,Producto 417,"['Cobre 1', 'Plastico 2', 'Grafeno 3']",124.87,2016-06-22
Empresa 31,Producto 418,"['Cerámica 1', 'Cobre 2']",115.82,2018-02-21
Empresa 58,Producto 419,"['Cobre 1', 'Grafeno 2', 'Plastico 3', 'Cerámica 4', 'Cobre 5']",148.37,2016-02-25
Empresa 52,Producto 420,"['Níquel 1', 'Plastico 2', 'Grafeno 3', 'Silicón 4']",83.91,2017-06-02
Empresa 35,Producto 421,"['Acero 1', 'Cobalto 2', 'Cobre 3', 'Fibra de Carbono 4']",70.23,2015-05-05
Empresa 123,Producto 422,"['Aluminio 1', 'Níquel 2', 'Acero 3', 'Cerámica 4', 'Níquel 5']",107.94,2018-08-03
Empresa 189,Producto 423,"['Cobalto 1', 'Acero 2']",135.05,2017-10-25
Empresa 141,Producto 424,"['Aluminio 1', 'Acero 2', 'Silicón 3', 'Cerámica 4']",144.1,2018-01-01
Empresa 63,Producto 425,"['Cobalto 1', 'Plastico 2', 'Silicón 3']",51.89,2019-02-01
Empresa 191,Producto 426,"['Aluminio 1', 'Cobre 2', 'Níquel 3']",125.04,2019-03-07
Empresa 31,Producto 427,"['Fibra de Carbono 1', 'Cobre 2', 'Acero 3']",135.16,2015-06-26
Empresa 68,Producto 428,"['Fibra de Carbono 1', 'Cobre 2']",146.69,2018-11-04
Empresa 82,Producto 429,"['Silicón 1', 'Cobalto 2', 'Silicón 3']",88.48,2016-05-30
Empresa 46,Producto 430,"['Níquel 1', 'Cerámica 2']",147.01,2016-08-27
Empresa 193,Producto 431,"['Níquel 1', 'Níquel 2']",105.72,2017-11-13
Empresa 105,Producto 432,"['Grafeno 1', 'Cobre 2', 'Cobre 3', 'Plastico 4', 'Grafeno 5']",98.2,2015-04-12
Empresa 92,Producto 433,"['Níquel 1', 'Aluminio 2', 'Cobre 3', 'Silicón 4', 'Acero 5']",149.68,2016-02-20
Empresa 91,Producto 434,"['Grafeno 1', 'Silicón 2', 'Grafeno 3', 'Plastico 4']",132.76,2019-09-06
Empresa 177,Producto 435,"['Cerámica 1', 'Silicón 2', 'Grafeno 3', 'Fibra de Carbono 4']",71.43,2019-04-27
Empresa 65,Producto 436,"['Cobalto 1', 'Cobalto 2', 'Cerámica 3', 'Aluminio 4', 'Cobre 5']",70.29,2018-03-25
Empresa 66,Producto 437,"['Aluminio 1', 'Cobre 2', 'Fibra de Carbono 3', 'Cobre 4', 'Cobre 5']",98.08,2018-08-01
Empresa 145,Producto 438,"['Cerámica 1', 'Níquel 2']",51.33,2018-06-17
Empresa 184,Producto 439,"['Cobre 1', 'Cobre 2', 'Plastico 3', 'Plastico 4', 'Cerámica 5']",85.57,2017-04-07
Empresa 45,Producto 440,"['Fibra de Carbono 1', 'Grafeno 2', 'Acero 3', 'Cobalto 4', 'Cobalto 5']",67.41,2017-06-19
Empresa 0,Producto 441,"['Cobre 1', 'Aluminio 2', 'Cobre 3']",108.52,2016-02-17
Empresa 122,Producto 442,"['Cerámica 1', 'Aluminio 2', 'Aluminio 3', 'Cobre 4', 'Acero 5']",80.03,2016-03-09
Empresa 34,Producto 443,"['Cobre 1', 'Cobre 2']",104.95,2015-09-09
Empresa 63,Producto 444,"['Cobre 1', 'Cobre 2']",134.4,2016-03-16
Empresa 11,Producto 445,"['Grafeno 1', 'Cerámica 2', 'Plastico 3']",68.04,2015-12-24
Empresa 137,Producto 446,"['Aluminio 1', 'Níquel 2', 'Aluminio 3']",110.21,2016-12-01
Empresa 141,Producto 447,"['Cobre 1', 'Cerámica 2', 'Níquel 3', 'Cerámica 4', 'Cobre 5']",134.68,2019-05-05
Empresa 185,Producto 448,"['Níquel 1', 'Plastico 2']",75.73,2018-04-06
Empresa 66,Producto 449,"['Cerámica 1', 'Cobre 2']",84.29,2019-02-11
Empresa 10,Producto 450,"['Aluminio 1', 'Cerámica 2']",145.44,2016-07-20
Empresa 37,Producto 451,"['Cerámica 1', 'Cobre 2']",141.31,2016-11-13
Empresa 110,Producto 452,"['Acero 1', 'Cobalto 2']",106.75,2017-01-07
Empresa 171,Producto 453,"['Fibra de Carbono 1', 'Acero 2', 'Acero 3', 'Silicón 4', 'Cobalto 5']",147.03,2015-04-07
Empresa 18,Producto 454,"['Fibra de Carbono 1', 'Cobre 2', 'Grafeno 3', 'Aluminio 4', 'Plastico 5']",103.48,2018-09-26
Empresa 92,Producto 455,"['Fibra de Carbono 1', 'Cobalto 2', 'Acero 3', 'Cobalto 4']",62.83,2018-11-18
Empresa 9,Producto 456,"['Aluminio 1', 'Plastico 2', 'Cerámica 3']",132.46,2015-08-24
Empresa 122,Producto 457,"['Cobre 1', 'Cobre 2', 'Cerámica 3', 'Acero 4', 'Cobre 5']",82.94,2015-02-02
Empresa 11,Producto 458,"['Cobalto 1', 'Aluminio 2']",63.57,2016-11-22
Empresa 145,Producto 459,"['Plastico 1', 'Aluminio 2', 'Fibra de Carbono 3', 'Fibra de Carbono 4', 'Cobre 5']",93.36,2017-11-15
Empresa 45,Producto 460,"['Cobre 1', 'Cobre 2']",94.64,2017-02-25
Empresa 86,Producto 461,"['Níquel 1', 'Cobre 2', 'Plastico 3']",138.49,2019-03-21
Empresa 194,Producto 462,"['Cobalto 1', 'Cobre 2', 'Plastico 3', 'Aluminio 4']",70.59,2018-10-30
Empresa 67,Producto 463,"['Plastico 1', 'Níquel 2', 'Cerámica 3', 'Fibra de Carbono 4', 'Grafeno 5']",65.73,2018-05-24
Empresa 136,Producto 464,"['Aluminio 1', 'Silicón 2', 'Acero 3', 'Fibra de Carbono 4']",77.76,2019-12-03
Empresa 92,Producto 465,"['Cobre 1', 'Cobalto 2', 'Fibra de Carbono 3']",116.09,2015-04-06
Empresa 38,Producto 466,"['Níquel 1', 'Níquel 2', 'Fibra de Carbono 3']",52.58,2018-02-07
Empresa 77,Producto 467,"['Grafeno 1', 'Cobre 2', 'Cerámica 3', 'Grafeno 4']",95.3,2019-05-18
Empresa 104,Producto 468,"['Acero 1', 'Plastico 2', 'Cobre 3', 'Cobre 4']",73.54,2018-01-04
Empresa 51,Producto 469,"['Cobalto 1', 'Fibra de Carbono 2', 'Cobre 3', 'Aluminio 4']",135.95,2017-09-02
Empresa 7,Producto 470,"['Cerámica 1', 'Cobre 2', 'Cerámica 3', 'Grafeno 4', 'Silicón 5']",101.87,2015-10-09
Empresa 29,Producto 471,"['Silicón 1', 'Plastico 2', 'Cobre 3', 'Cerámica 4']",106.95,2019-04-26
Empresa 31,Producto 472,"['Acero 1', 'Aluminio 2', 'Fibra de Carbono 3']",118.34,2016-02-02
Empresa 92,Producto 473,"['Cobalto 1', 'Plastico 2', 'Cobalto 3', 'Silicón 4']",103.49,2015-01-02
Empresa 24,Producto 474,"['Cobre 1', 'Aluminio 2', 'Silicón 3']",118.11,2016-05-13
Empresa 36,Producto 475,"['Cobalto 1', 'Níquel 2']",69.52,2015-03-29
Empresa 181,Producto 476,"['Plastico 1', 'Cerámica 2', 'Cerámica 3', 'Cobre 4', 'Fibra de Carbono 5']",100.35,2018-01-04
Empresa 199,Producto 477,"['Cobalto 1', 'Cerámica 2']",56.7,2015-10-19
