documento,empresa,corresponsal,numeroConfirmacion,prioridad
1661,Empresa 60,Corresponsal 88,428842,Alta
1662,Empresa 140,Corresponsal 51,628564,Media
1665,Empresa 42,Corresponsal 62,998387,Baja
1667,Empresa 195,Corresponsal 29,883330,Alta
1677,Empresa 199,Corresponsal 12,150876,Baja
1678,Empresa 90,Corresponsal 33,151443,Alta
1682,Empresa 61,Corresponsal 77,176034,Baja
1683,Empresa 27,Corresponsal 93,301932,Baja
1687,Empresa 36,Corresponsal 61,281355,Baja
1688,Empresa 135,Corresponsal 19,627348,Alta
1693,Empresa 42,Corresponsal 99,116410,Baja
1695,Empresa 60,Corresponsal 34,186008,Media
1699,Empresa 189,Corresponsal 8,748224,Baja
1702,Empresa 166,Corresponsal 74,475403,Media
1703,Empresa 127,Corresponsal 68,919607,Baja
1709,Empresa 166,Corresponsal 76,847880,Media
1711,Empresa 138,Corresponsal 49,951456,Media
1713,Empresa 177,Corresponsal 92,450670,Alta
1716,Empresa 110,Corresponsal 75,533626,Baja
1721,Empresa 65,Corresponsal 1,600714,Alta
1722,Empresa 61,Corresponsal 62,169381,Alta
1724,Empresa 192,Corresponsal 94,805027,Media
1725,Empresa 4,Corresponsal 9,987456,Media
1731,Empresa 127,Corresponsal 28,619939,Media
1733,Empresa 195,Corresponsal 93,124291,Alta
1738,Empresa 103,Corresponsal 14,540983,Media
1741,Empresa 136,Corresponsal 45,720033,Media
1743,Empresa 127,Corresponsal 28,119837,Alta
1744,Empresa 26,Corresponsal 63,625502,Baja
1746,Empresa 157,Corresponsal 40,126300,Baja
1747,Empresa 0,Corresponsal 82,268928,Baja
1748,Empresa 110,Corresponsal 98,299063,Alta
1756,Empresa 8,Corresponsal 58,609124,Alta
1757,Empresa 196,Corresponsal 73,261775,Baja
1762,Empresa 124,Corresponsal 39,658381,Media
1768,Empresa 43,Corresponsal 28,982155,Alta
1771,Empresa 199,Corresponsal 95,140988,Baja
1772,Empresa 46,Corresponsal 19,833334,Alta
1773,Empresa 33,Corresponsal 2,705876,Baja
1774,Empresa 124,Corresponsal 47,700417,Alta
1775,Empresa 124,Corresponsal 55,313498,Media
1778,Empresa 7,Corresponsal 78,852234,Media
1785,Empresa 179,Corresponsal 12,246151,Alta
1787,Empresa 50,Corresponsal 65,234822,Alta
1788,Empresa 61,Corresponsal 75,446913,Baja
1789,Empresa 127,Corresponsal 80,650873,Media
1794,Empresa 75,Corresponsal 41,892657,Alta
1796,Empresa 8,Corresponsal 82,126395,Alta
1798,Empresa 11,Corresponsal 86,294630,Baja
1807,Empresa 11,Corresponsal 41,979869,Baja
1810,Empresa 77,Corresponsal 78,614292,Alta
1814,Empresa 110,Corresponsal 21,384188,Alta
1817,Empresa 103,Corresponsal 77,419212,Media
1818,Empresa 27,Corresponsal 59,968667,Media
1819,Empresa 157,Corresponsal 99,918557,Baja
1820,Empresa 138,Corresponsal 72,145302,Media
1823,Empresa 29,Corresponsal 81,390353,Alta
1826,Empresa 114,Corresponsal 47,865215,Alta
1828,Empresa 51,Corresponsal 82,225977,Media
1830,Empresa 112,Corresponsal 31,269857,Media
1831,Empresa 66,Corresponsal 59,824930,Media
1833,Empresa 89,Corresponsal 40,586322,Media
1837,Empresa 25,Corresponsal 43,641106,Baja
1838,Empresa 51,Corresponsal 48,904338,Alta
1839,Empresa 64,Corresponsal 58,884638,Media
1842,Empresa 80,Corresponsal 56,968577,Baja
1844,Empresa 112,Corresponsal 18,561266,Baja
1846,Empresa 0,Corresponsal 65,317023,Alta
1847,Empresa 189,Corresponsal 89,310892,Baja
1848,Empresa 50,Corresponsal 64,278550,Media
1852,Empresa 160,Corresponsal 54,549760,Baja
1856,Empresa 67,Corresponsal 15,619856,Alta
1859,Empresa 7,Corresponsal 56,266920,Media
1864,Empresa 43,Corresponsal 44,339991,Alta
1866,Empresa 157,Corresponsal 20,413550,Media
1869,Empresa 26,Corresponsal 28,400461,Alta
1878,Empresa 42,Corresponsal 78,656134,Media
1879,Empresa 46,Corresponsal 29,671704,Alta
1880,Empresa 21,Corresponsal 50,585352,Baja
1884,Empresa 120,Corresponsal 76,742999,Baja
1885,Empresa 158,Corresponsal 98,925211,Baja
1888,Empresa 151,Corresponsal 36,658591,Baja
1899,Empresa 68,Corresponsal 97,410439,Alta
1900,Empresa 199,Corresponsal 76,489114,Alta
1909,Empresa 166,Corresponsal 27,499547,Media
1913,Empresa 91,Corresponsal 99,665567,Baja
1918,Empresa 69,Corresponsal 54,823785,Media
1920,Empresa 90,Corresponsal 16,571858,Alta
1925,Empresa 11,Corresponsal 57,965183,Baja
1927,Empresa 74,Corresponsal 73,467638,Media
1930,Empresa 142,Corresponsal 89,367220,Baja
1933,Empresa 56,Corresponsal 79,950201,Alta
1938,Empresa 185,Corresponsal 83,716516,Baja
1942,Empresa 138,Corresponsal 56,854201,Alta
1945,Empresa 32,Corresponsal 87,304243,Alta
1969,Empresa 140,Corresponsal 91,274977,Alta
1970,Empresa 66,Corresponsal 53,960354,Alta
1972,Empresa 95,Corresponsal 3,914378,Alta
1973,Empresa 112,Corresponsal 30,573874,Baja
1976,Empresa 177,Corresponsal 68,450507,Baja
1979,Empresa 68,Corresponsal 97,453434,Baja
1980,Empresa 7,Corresponsal 87,831618,Media
1986,Empresa 118,Corresponsal 46,946654,Baja
1987,Empresa 156,Corresponsal 29,991063,Alta
1988,Empresa 81,Corresponsal 20,428859,Baja
1989,Empresa 160,Corresponsal 87,617708,Alta
1993,Empresa 109,Corresponsal 32,141806,Baja
1996,Empresa 192,Corresponsal 5,848144,Alta
1997,Empresa 127,Corresponsal 2,651629,Media
2000,Empresa 110,Corresponsal 52,404559,Media
2007,Empresa 21,Corresponsal 85,216524,Alta
2008,Empresa 26,Corresponsal 88,413053,Baja
2011,Empresa 67,Corresponsal 91,324971,Alta
2013,Empresa 110,Corresponsal 81,278264,Baja
2015,Empresa 103,Corresponsal 74,744810,Alta
2021,Empresa 6,Corresponsal 54,411649,Alta
2029,Empresa 57,Corresponsal 92,672610,Baja
2034,Empresa 112,Corresponsal 36,249393,Media
2036,Empresa 60,Corresponsal 45,641331,Alta
2040,Empresa 149,Corresponsal 77,661692,Media
2041,Empresa 156,Corresponsal 26,423841,Media
2044,Empresa 80,Corresponsal 98,892853,Baja
2047,Empresa 118,Corresponsal 29,413084,Baja
2048,Empresa 56,Corresponsal 37,439227,Baja
2052,Empresa 32,Corresponsal 5,600021,Baja
2058,Empresa 21,Corresponsal 86,253170,Alta
2059,Empresa 88,Corresponsal 6,667071,Alta
2060,Empresa 142,Corresponsal 3,350701,Media
2061,Empresa 68,Corresponsal 100,563753,Baja
2063,Empresa 158,Corresponsal 8,551282,Alta
2064,Empresa 21,Corresponsal 63,202471,Media
2070,Empresa 111,Corresponsal 71,967001,Alta
2071,Empresa 66,Corresponsal 49,818816,Alta
2073,Empresa 171,Corresponsal 75,384330,Baja
2074,Empresa 53,Corresponsal 5,647179,Baja
2080,Empresa 192,Corresponsal 23,136821,Media
2081,Empresa 33,Corresponsal 42,741822,Baja
2083,Empresa 50,Corresponsal 3,231394,Media
2084,Empresa 102,Corresponsal 72,526581,Alta
2091,Empresa 130,Corresponsal 74,613505,Baja
2099,Empresa 148,Corresponsal 50,590439,Media
2100,Empresa 103,Corresponsal 92,348409,Baja
2103,Empresa 136,Corresponsal 24,351829,Alta
2104,Empresa 23,Corresponsal 96,810449,Alta
2110,Empresa 101,Corresponsal 52,993721,Alta
2112,Empresa 88,Corresponsal 96,578314,Media
2113,Empresa 199,Corresponsal 20,235562,Baja
2120,Empresa 110,Corresponsal 42,769683,Media
2123,Empresa 196,Corresponsal 85,380982,Alta
2130,Empresa 138,Corresponsal 62,980961,Media
2139,Empresa 67,Corresponsal 85,792949,Media
2144,Empresa 196,Corresponsal 58,731507,Alta
2153,Empresa 154,Corresponsal 68,308834,Media
2157,Empresa 160,Corresponsal 58,801045,Baja
2160,Empresa 69,Corresponsal 11,739526,Alta
2165,Empresa 142,Corresponsal 62,170182,Baja
2170,Empresa 118,Corresponsal 62,857657,Baja
2174,Empresa 4,Corresponsal 37,498893,Alta
2182,Empresa 101,Corresponsal 21,483817,Media
2192,Empresa 68,Corresponsal 71,971123,Media
2194,Empresa 138,Corresponsal 49,296286,Media
2198,Empresa 33,Corresponsal 2,162545,Alta
2199,Empresa 8,Corresponsal 35,213331,Baja
2200,Empresa 21,Corresponsal 27,871333,Alta
2202,Empresa 8,Corresponsal 76,166921,Alta
2205,Empresa 90,Corresponsal 68,525055,Media
2209,Empresa 25,Corresponsal 49,893282,Alta
2213,Empresa 127,Corresponsal 63,923300,Media
2215,Empresa 26,Corresponsal 21,221546,Media
2216,Empresa 195,Corresponsal 23,499200,Alta
2218,Empresa 26,Corresponsal 36,432738,Baja
2219,Empresa 66,Corresponsal 77,254731,Media
2223,Empresa 95,Corresponsal 34,737138,Alta
2225,Empresa 101,Corresponsal 39,414018,Baja
2228,Empresa 90,Corresponsal 20,799496,Media
2232,Empresa 88,Corresponsal 82,217013,Alta
2233,Empresa 32,Corresponsal 45,831533,Alta
2237,Empresa 32,Corresponsal 65,997010,Alta
2238,Empresa 33,Corresponsal 46,532341,Media
2247,Empresa 53,Corresponsal 79,249411,Alta
2250,Empresa 85,Corresponsal 52,759185,Baja
2251,Empresa 101,Corresponsal 100,148185,Media
2254,Empresa 191,Corresponsal 45,615179,Alta
2255,Empresa 166,Corresponsal 4,266816,Media
2261,Empresa 60,Corresponsal 83,621562,Alta
2262,Empresa 52,Corresponsal 65,585118,Alta
2263,Empresa 130,Corresponsal 64,916507,Alta
2266,Empresa 142,Corresponsal 65,368403,Media
2269,Empresa 164,Corresponsal 31,407743,Alta
2271,Empresa 149,Corresponsal 87,686830,Baja
2272,Empresa 101,Corresponsal 60,780335,Baja
2275,Empresa 77,Corresponsal 92,915297,Media
2276,Empresa 66,Corresponsal 20,723136,Baja
2278,Empresa 4,Corresponsal 90,561986,Alta
2283,Empresa 101,Corresponsal 18,959938,Alta
2285,Empresa 52,Corresponsal 24,256695,Media
2289,Empresa 156,Corresponsal 5,659722,Alta
2290,Empresa 21,Corresponsal 15,187075,Baja
2292,Empresa 192,Corresponsal 68,371754,Media
2297,Empresa 77,Corresponsal 41,933847,Alta
2298,Empresa 32,Corresponsal 52,978678,Media
2301,Empresa 179,Corresponsal 12,457141,Baja
2306,Empresa 166,Corresponsal 9,322838,Media
2307,Empresa 101,Corresponsal 93,487431,Alta
2308,Empresa 142,Corresponsal 63,994487,Alta
2309,Empresa 53,Corresponsal 70,367001,Baja
2312,Empresa 199,Corresponsal 91,342142,Media
2314,Empresa 17,Corresponsal 52,522306,Alta
2316,Empresa 102,Corresponsal 93,191648,Baja
2319,Empresa 127,Corresponsal 13,328064,Baja
2322,Empresa 20,Corresponsal 23,669486,Media
2327,Empresa 160,Corresponsal 54,554955,Alta
2331,Empresa 17,Corresponsal 63,490347,Media
2332,Empresa 50,Corresponsal 13,886079,Media
2333,Empresa 164,Corresponsal 94,980536,Baja
2334,Empresa 155,Corresponsal 85,417775,Alta
2339,Empresa 130,Corresponsal 74,974335,Alta
2340,Empresa 89,Corresponsal 48,571485,Media
2345,Empresa 46,Corresponsal 91,495448,Baja
2347,Empresa 136,Corresponsal 71,792894,Media
2348,Empresa 111,Corresponsal 45,299397,Alta
2349,Empresa 0,Corresponsal 60,714436,Alta
2352,Empresa 148,Corresponsal 63,248399,Alta
2354,Empresa 102,Corresponsal 31,906457,Baja
2361,Empresa 90,Corresponsal 17,451422,Alta
2370,Empresa 149,Corresponsal 4,480227,Media
2376,Empresa 103,Corresponsal 89,202041,Alta
2389,Empresa 14,Corresponsal 25,134942,Alta
2390,Empresa 50,Corresponsal 16,356685,Alta
2391,Empresa 67,Corresponsal 3,119929,Baja
2396,Empresa 36,Corresponsal 65,998395,Baja
2397,Empresa 128,Corresponsal 76,588648,Media
2402,Empresa 79,Corresponsal 92,622240,Alta
2405,Empresa 8,Corresponsal 2,659454,Baja
2409,Empresa 130,Corresponsal 93,103704,Media
2411,Empresa 32,Corresponsal 61,901345,Baja
2412,Empresa 124,Corresponsal 58,235793,Alta
2416,Empresa 27,Corresponsal 25,339040,Alta
2419,Empresa 91,Corresponsal 30,593182,Baja
2422,Empresa 95,Corresponsal 48,867593,Baja
2424,Empresa 42,Corresponsal 3,216167,Alta
2426,Empresa 110,Corresponsal 30,126117,Alta
2428,Empresa 142,Corresponsal 85,133806,Media
2442,Empresa 29,Corresponsal 45,272911,Alta
2448,Empresa 27,Corresponsal 82,816189,Alta
2449,Empresa 85,Corresponsal 3,516515,Alta
2453,Empresa 25,Corresponsal 8,528065,Media
2460,Empresa 171,Corresponsal 53,640256,Media
2463,Empresa 29,Corresponsal 15,392607,Baja
2466,Empresa 114,Corresponsal 12,849409,Baja
2469,Empresa 124,Corresponsal 16,475614,Alta
2473,Empresa 148,Corresponsal 73,365382,Alta
2476,Empresa 89,Corresponsal 24,758550,Media
2477,Empresa 85,Corresponsal 93,771044,Alta
2478,Empresa 8,Corresponsal 50,689319,Baja
2481,Empresa 101,Corresponsal 34,419162,Alta
2484,Empresa 101,Corresponsal 69,970814,Alta
2485,Empresa 21,Corresponsal 84,635896,Baja
2486,Empresa 21,Corresponsal 97,834307,Media
2492,Empresa 79,Corresponsal 32,723605,Alta
2493,Empresa 46,Corresponsal 4,518730,Media
2494,Empresa 199,Corresponsal 6,656777,Alta
2500,Empresa 29,Corresponsal 25,257828,Media
2501,Empresa 66,Corresponsal 21,226852,Media
2504,Empresa 156,Corresponsal 87,178805,Alta
2505,Empresa 25,Corresponsal 90,588012,Alta
2510,Empresa 1,Corresponsal 47,481649,Baja
2513,Empresa 140,Corresponsal 46,991330,Alta
2519,Empresa 56,Corresponsal 4,415863,Alta
2523,Empresa 195,Corresponsal 1,338046,Alta
2524,Empresa 138,Corresponsal 19,117624,Media
2525,Empresa 57,Corresponsal 34,631632,Alta
2529,Empresa 75,Corresponsal 21,300980,Alta
2531,Empresa 77,Corresponsal 71,762785,Media
2533,Empresa 144,Corresponsal 91,408078,Alta
2535,Empresa 171,Corresponsal 80,671692,Alta
2539,Empresa 162,Corresponsal 12,710103,Media
2541,Empresa 68,Corresponsal 7,854478,Baja
2546,Empresa 20,Corresponsal 80,737671,Baja
2550,Empresa 124,Corresponsal 9,511965,Alta
2554,Empresa 4,Corresponsal 87,319987,Alta
2555,Empresa 199,Corresponsal 68,141267,Baja
2556,Empresa 27,Corresponsal 86,202817,Baja
2558,Empresa 140,Corresponsal 94,241089,Baja
2559,Empresa 60,Corresponsal 88,702791,Baja
2560,Empresa 148,Corresponsal 70,363928,Alta
2564,Empresa 26,Corresponsal 29,512244,Media
2571,Empresa 30,Corresponsal 14,797013,Alta
2574,Empresa 21,Corresponsal 99,236984,Media
2580,Empresa 110,Corresponsal 40,675128,Baja
2582,Empresa 95,Corresponsal 57,678504,Media
2583,Empresa 68,Corresponsal 33,385207,Alta
2584,Empresa 188,Corresponsal 57,840726,Media
2592,Empresa 23,Corresponsal 64,610146,Media
2593,Empresa 80,Corresponsal 86,128900,Baja
2596,Empresa 56,Corresponsal 92,370538,Alta
2597,Empresa 17,Corresponsal 37,546058,Alta
2599,Empresa 138,Corresponsal 7,656592,Alta
2602,Empresa 102,Corresponsal 55,522972,Media
2603,Empresa 91,Corresponsal 60,205694,Alta
2604,Empresa 75,Corresponsal 12,528618,Media
2606,Empresa 7,Corresponsal 94,449630,Alta
2611,Empresa 7,Corresponsal 9,304638,Media
2618,Empresa 195,Corresponsal 76,446695,Media
2620,Empresa 127,Corresponsal 15,353578,Alta
2621,Empresa 142,Corresponsal 82,645978,Alta
2622,Empresa 102,Corresponsal 93,745172,Media
2624,Empresa 7,Corresponsal 84,589866,Alta
2626,Empresa 127,Corresponsal 39,944491,Media
2627,Empresa 158,Corresponsal 79,581979,Alta
2629,Empresa 162,Corresponsal 49,664154,Alta
2634,Empresa 136,Corresponsal 12,622428,Baja
2636,Empresa 51,Corresponsal 72,674284,Baja
2637,Empresa 158,Corresponsal 21,442457,Alta
2638,Empresa 81,Corresponsal 58,579274,Alta
2640,Empresa 74,Corresponsal 77,523189,Alta
2641,Empresa 55,Corresponsal 65,450398,Media
2646,Empresa 138,Corresponsal 26,446307,Media
2649,Empresa 8,Corresponsal 86,471710,Media
2650,Empresa 11,Corresponsal 60,743062,Media
2651,Empresa 55,Corresponsal 9,978599,Alta
2653,Empresa 26,Corresponsal 89,998215,Alta
2655,Empresa 26,Corresponsal 47,781103,Baja
2657,Empresa 191,Corresponsal 37,149010,Alta
2658,Empresa 135,Corresponsal 95,603840,Baja
2663,Empresa 114,Corresponsal 12,552826,Alta
2666,Empresa 199,Corresponsal 100,445227,Media
2675,Empresa 136,Corresponsal 12,708302,Alta
2679,Empresa 140,Corresponsal 92,332204,Baja
2681,Empresa 179,Corresponsal 98,133871,Media
2683,Empresa 130,Corresponsal 13,158256,Baja
2686,Empresa 160,Corresponsal 68,934627,Alta
2687,Empresa 56,Corresponsal 46,826554,Baja
2691,Empresa 158,Corresponsal 47,882690,Baja
2694,Empresa 166,Corresponsal 78,727692,Alta
2697,Empresa 14,Corresponsal 18,196567,Baja
2702,Empresa 91,Corresponsal 95,243454,Baja
2706,Empresa 132,Corresponsal 82,951578,Baja
2707,Empresa 124,Corresponsal 3,992558,Media
2717,Empresa 6,Corresponsal 47,175932,Baja
2718,Empresa 101,Corresponsal 30,684003,Baja
2719,Empresa 52,Corresponsal 16,233464,Media
2723,Empresa 38,Corresponsal 30,723234,Media
2726,Empresa 196,Corresponsal 53,426178,Baja
2727,Empresa 1,Corresponsal 89,479687,Baja
2729,Empresa 4,Corresponsal 86,489850,Media
2730,Empresa 130,Corresponsal 6,646860,Baja
2737,Empresa 32,Corresponsal 89,569010,Baja
2740,Empresa 109,Corresponsal 91,260270,Baja
2742,Empresa 40,Corresponsal 46,940946,Alta
2745,Empresa 69,Corresponsal 76,889256,Alta
2750,Empresa 8,Corresponsal 25,847832,Media
2752,Empresa 160,Corresponsal 89,532246,Media
2753,Empresa 179,Corresponsal 73,688425,Baja
2754,Empresa 57,Corresponsal 59,753107,Baja
2759,Empresa 112,Corresponsal 95,894704,Alta
2760,Empresa 77,Corresponsal 80,561514,Baja
2764,Empresa 20,Corresponsal 7,843691,Media
2769,Empresa 51,Corresponsal 100,722216,Baja
2772,Empresa 88,Corresponsal 46,561977,Media
2779,Empresa 74,Corresponsal 42,866574,Baja
2781,Empresa 89,Corresponsal 46,767209,Baja
2783,Empresa 64,Corresponsal 40,536357,Alta
2784,Empresa 53,Corresponsal 47,909168,Baja
2785,Empresa 185,Corresponsal 38,471245,Media
2792,Empresa 155,Corresponsal 59,602856,Alta
2793,Empresa 0,Corresponsal 21,654227,Media
2796,Empresa 30,Corresponsal 3,754628,Alta
2801,Empresa 53,Corresponsal 28,614858,Alta
2803,Empresa 154,Corresponsal 12,671804,Alta
2805,Empresa 144,Corresponsal 94,558448,Baja
2809,Empresa 52,Corresponsal 67,889031,Media
2810,Empresa 23,Corresponsal 64,137339,Alta
2816,Empresa 102,Corresponsal 86,884172,Baja
2817,Empresa 32,Corresponsal 62,201921,Media
2819,Empresa 185,Corresponsal 40,620978,Media
2820,Empresa 64,Corresponsal 8,244097,Alta
2821,Empresa 80,Corresponsal 14,344051,Alta
2823,Empresa 148,Corresponsal 3,355940,Media
2826,Empresa 67,Corresponsal 54,349158,Baja
2830,Empresa 157,Corresponsal 87,939964,Baja
2831,Empresa 166,Corresponsal 16,196896,Alta
2832,Empresa 158,Corresponsal 5,584366,Alta
2833,Empresa 81,Corresponsal 26,175187,Baja
2834,Empresa 50,Corresponsal 64,689892,Media
2838,Empresa 67,Corresponsal 73,275747,Alta
2840,Empresa 30,Corresponsal 95,905077,Baja
2844,Empresa 166,Corresponsal 67,855338,Baja
2847,Empresa 85,Corresponsal 57,424609,Baja
2849,Empresa 77,Corresponsal 63,219080,Media
2852,Empresa 21,Corresponsal 37,403860,Alta
2854,Empresa 199,Corresponsal 17,890699,Media
2857,Empresa 144,Corresponsal 82,446392,Media
2858,Empresa 136,Corresponsal 48,531278,Baja
2862,Empresa 102,Corresponsal 13,385070,Media
2863,Empresa 154,Corresponsal 90,660522,Media
2872,Empresa 30,Corresponsal 21,608990,Baja
2874,Empresa 36,Corresponsal 63,815232,Media
2875,Empresa 11,Corresponsal 57,986528,Baja
2876,Empresa 136,Corresponsal 45,858397,Baja
2877,Empresa 124,Corresponsal 66,660143,Baja
2879,Empresa 69,Corresponsal 62,180057,Media
2884,Empresa 80,Corresponsal 100,703759,Alta
2888,Empresa 51,Corresponsal 81,290966,Baja
2891,Empresa 50,Corresponsal 78,894615,Media
2895,Empresa 11,Corresponsal 52,220553,Media
2898,Empresa 160,Corresponsal 2,466244,Baja
2900,Empresa 199,Corresponsal 74,910040,Baja
2901,Empresa 127,Corresponsal 9,199220,Alta
2905,Empresa 154,Corresponsal 99,131730,Alta
2907,Empresa 148,Corresponsal 41,763898,Alta
2909,Empresa 135,Corresponsal 83,385832,Media
2912,Empresa 155,Corresponsal 62,641739,Baja
2914,Empresa 177,Corresponsal 73,704854,Alta
2915,Empresa 43,Corresponsal 38,690348,Media
2920,Empresa 155,Corresponsal 96,194719,Baja
2924,Empresa 11,Corresponsal 35,420083,Media
2925,Empresa 91,Corresponsal 39,321332,Alta
2931,Empresa 23,Corresponsal 94,625477,Baja
2936,Empresa 30,Corresponsal 56,970272,Alta
2944,Empresa 8,Corresponsal 38,381253,Alta
2945,Empresa 177,Corresponsal 2,274116,Baja
2949,Empresa 158,Corresponsal 71,939713,Baja
2951,Empresa 65,Corresponsal 34,446406,Media
2954,Empresa 65,Corresponsal 84,200170,Baja
2958,Empresa 191,Corresponsal 80,690260,Alta
2961,Empresa 22,Corresponsal 17,449396,Alta
2962,Empresa 27,Corresponsal 21,785892,Alta
2966,Empresa 22,Corresponsal 7,973597,Media
2967,Empresa 79,Corresponsal 75,190933,Alta
2968,Empresa 155,Corresponsal 40,869185,Alta
2969,Empresa 51,Corresponsal 92,355713,Baja
2971,Empresa 1,Corresponsal 1,725767,Alta
2975,Empresa 61,Corresponsal 97,370837,Alta
2976,Empresa 110,Corresponsal 75,321500,Baja
2978,Empresa 101,Corresponsal 6,816568,Media
2979,Empresa 151,Corresponsal 67,465803,Media
2983,Empresa 101,Corresponsal 12,398863,Alta
2987,Empresa 43,Corresponsal 51,836810,Media
2989,Empresa 102,Corresponsal 80,541694,Media
2998,Empresa 65,Corresponsal 70,222260,Alta
3004,Empresa 88,Corresponsal 36,735259,Alta
3005,Empresa 8,Corresponsal 69,191710,Alta
3007,Empresa 90,Corresponsal 50,562026,Alta
3010,Empresa 52,Corresponsal 74,521434,Media
3011,Empresa 14,Corresponsal 2,755000,Media
3012,Empresa 67,Corresponsal 98,472960,Media
3013,Empresa 138,Corresponsal 50,852468,Baja
3015,Empresa 51,Corresponsal 20,596406,Alta
3019,Empresa 7,Corresponsal 18,113784,Alta
3020,Empresa 195,Corresponsal 36,635320,Alta
3022,Empresa 57,Corresponsal 26,695884,Baja
3023,Empresa 50,Corresponsal 95,370557,Alta
3026,Empresa 74,Corresponsal 24,303912,Baja
3027,Empresa 148,Corresponsal 92,234282,Media
3031,Empresa 27,Corresponsal 1,680771,Media
3036,Empresa 17,Corresponsal 46,890282,Media
3038,Empresa 157,Corresponsal 66,877122,Baja
3042,Empresa 38,Corresponsal 11,979485,Media
3045,Empresa 77,Corresponsal 10,763171,Baja
3046,Empresa 118,Corresponsal 96,262646,Baja
3049,Empresa 157,Corresponsal 31,957827,Baja
3051,Empresa 185,Corresponsal 4,167665,Alta
3052,Empresa 61,Corresponsal 14,622044,Alta
3055,Empresa 124,Corresponsal 19,663249,Media
3056,Empresa 112,Corresponsal 67,415572,Alta
3057,Empresa 55,Corresponsal 69,411368,Alta
3060,Empresa 52,Corresponsal 4,479563,Baja
3066,Empresa 192,Corresponsal 52,309496,Alta
3071,Empresa 114,Corresponsal 26,586179,Alta
3087,Empresa 22,Corresponsal 94,532106,Baja
3089,Empresa 29,Corresponsal 85,126267,Alta
3090,Empresa 101,Corresponsal 34,191650,Baja
3092,Empresa 118,Corresponsal 70,467016,Alta
3094,Empresa 8,Corresponsal 63,602644,Alta
3095,Empresa 7,Corresponsal 63,884812,Media
3097,Empresa 29,Corresponsal 45,414445,Baja
3100,Empresa 151,Corresponsal 77,782444,Media
3107,Empresa 164,Corresponsal 59,593733,Alta
3114,Empresa 42,Corresponsal 73,602020,Media
3115,Empresa 160,Corresponsal 6,202753,Media
3116,Empresa 114,Corresponsal 15,575954,Baja
3119,Empresa 11,Corresponsal 79,692044,Media
3126,Empresa 144,Corresponsal 79,184738,Media
3127,Empresa 110,Corresponsal 68,706602,Alta
3129,Empresa 74,Corresponsal 96,982248,Media
3131,Empresa 91,Corresponsal 70,837244,Media
3132,Empresa 69,Corresponsal 7,890147,Baja
3139,Empresa 7,Corresponsal 79,220418,Alta
3141,Empresa 128,Corresponsal 21,362438,Media
3149,Empresa 158,Corresponsal 11,258060,Alta
3151,Empresa 79,Corresponsal 54,822106,Media
3152,Empresa 52,Corresponsal 51,471562,Alta
3153,Empresa 33,Corresponsal 66,333079,Media
3155,Empresa 191,Corresponsal 4,250540,Media
3156,Empresa 109,Corresponsal 12,393641,Alta
3159,Empresa 14,Corresponsal 5,577305,Alta
3163,Empresa 135,Corresponsal 84,428487,Media
3167,Empresa 195,Corresponsal 37,555700,Baja
3168,Empresa 154,Corresponsal 71,127343,Media
3170,Empresa 8,Corresponsal 44,551774,Media
3171,Empresa 127,Corresponsal 72,580460,Alta
3175,Empresa 42,Corresponsal 26,363745,Alta
3179,Empresa 191,Corresponsal 14,220876,Alta
3181,Empresa 109,Corresponsal 48,432568,Alta
3185,Empresa 138,Corresponsal 73,442005,Baja
3188,Empresa 66,Corresponsal 83,141855,Baja
3192,Empresa 109,Corresponsal 18,639300,Baja
3193,Empresa 144,Corresponsal 1,701547,Baja
3194,Empresa 185,Corresponsal 82,345081,Alta
3205,Empresa 199,Corresponsal 6,721035,Baja
3210,Empresa 50,Corresponsal 93,509073,Alta
3211,Empresa 77,Corresponsal 23,663330,Media
3213,Empresa 11,Corresponsal 92,224144,Media
3214,Empresa 138,Corresponsal 57,224804,Alta
3219,Empresa 50,Corresponsal 65,131050,Alta
3223,Empresa 75,Corresponsal 51,931417,Alta
3225,Empresa 132,Corresponsal 5,787246,Alta
3226,Empresa 1,Corresponsal 8,594285,Media
3228,Empresa 80,Corresponsal 94,605355,Alta
3231,Empresa 195,Corresponsal 44,779992,Baja
3232,Empresa 157,Corresponsal 98,804662,Baja
3234,Empresa 160,Corresponsal 21,272791,Media
3239,Empresa 142,Corresponsal 93,635209,Alta
3240,Empresa 79,Corresponsal 88,718538,Baja
3244,Empresa 95,Corresponsal 76,428674,Alta
3246,Empresa 101,Corresponsal 15,954445,Alta
3249,Empresa 8,Corresponsal 72,842044,Media
3253,Empresa 55,Corresponsal 23,326195,Alta
3257,Empresa 128,Corresponsal 45,602483,Alta
3258,Empresa 162,Corresponsal 64,841979,Alta
3262,Empresa 166,Corresponsal 70,333381,Baja
3264,Empresa 64,Corresponsal 62,292148,Baja
3266,Empresa 149,Corresponsal 15,582760,Media
3267,Empresa 4,Corresponsal 53,771476,Alta
3268,Empresa 95,Corresponsal 30,977291,Alta
3270,Empresa 79,Corresponsal 40,728735,Alta
3275,Empresa 192,Corresponsal 64,850076,Baja
3276,Empresa 109,Corresponsal 99,829246,Alta
3277,Empresa 196,Corresponsal 31,218434,Media
3278,Empresa 135,Corresponsal 10,352229,Media
3280,Empresa 46,Corresponsal 12,239750,Media
3282,Empresa 130,Corresponsal 91,108485,Alta
