0,1,2
Empresa 66,Producto 931,20
Empresa 0,Producto 932,20
Empresa 130,Producto 933,5
Empresa 7,Producto 934,8
Empresa 118,Producto 935,6
Empresa 153,Producto 936,35
Empresa 165,Producto 937,8
Empresa 150,Producto 938,48
Empresa 90,Producto 939,5
Empresa 150,Producto 940,45
Empresa 114,Producto 941,11
Empresa 15,Producto 942,38
Empresa 99,Producto 943,19
Empresa 75,Producto 944,37
Empresa 106,Producto 945,38
Empresa 142,Producto 946,7
Empresa 57,Producto 947,25
Empresa 175,Producto 948,16
Empresa 181,Producto 949,47
Empresa 92,Producto 950,16
Empresa 24,Producto 951,31
Empresa 181,Producto 952,49
Empresa 94,Producto 953,3
Empresa 73,Producto 954,18
Empresa 165,Producto 955,5
Empresa 42,Producto 956,35
Empresa 143,Producto 957,23
Empresa 126,Producto 958,25
Empresa 2,Producto 959,42
Empresa 37,Producto 960,21
Empresa 157,Producto 961,5
Empresa 37,Producto 962,44
Empresa 156,Producto 963,39
Empresa 58,Producto 964,44
Empresa 143,Producto 965,20
Empresa 167,Producto 966,8
Empresa 57,Producto 967,17
Empresa 122,Producto 968,39
Empresa 109,Producto 969,38
Empresa 0,Producto 970,14
Empresa 99,Producto 971,29
Empresa 41,Producto 972,15
Empresa 142,Producto 973,34
Empresa 3,Producto 974,43
Empresa 102,Producto 975,17
Empresa 80,Producto 976,22
Empresa 122,Producto 977,15
Empresa 169,Producto 978,23
Empresa 24,Producto 979,7
Empresa 86,Producto 980,50
Empresa 90,Producto 981,19
Empresa 1,Producto 982,13
Empresa 24,Producto 983,24
Empresa 193,Producto 984,34
Empresa 6,Producto 985,7
Empresa 106,Producto 986,16
Empresa 7,Producto 987,13
Empresa 24,Producto 988,27
Empresa 39,Producto 989,22
Empresa 7,Producto 990,44
Empresa 34,Producto 991,50
Empresa 31,Producto 992,41
Empresa 92,Producto 993,6
Empresa 195,Producto 994,30
Empresa 156,Producto 995,11
Empresa 193,Producto 996,8
Empresa 141,Producto 997,33
Empresa 172,Producto 998,17
Empresa 102,Producto 999,10
Empresa 60,Producto 1000,32
Empresa 15,Producto 1001,48
Empresa 92,Producto 1002,18
Empresa 54,Producto 1003,39
Empresa 156,Producto 1004,10
Empresa 52,Producto 1005,45
Empresa 63,Producto 1006,27
Empresa 7,Producto 1007,9
Empresa 10,Producto 1008,43
Empresa 128,Producto 1009,16
Empresa 60,Producto 1010,12
Empresa 37,Producto 1011,42
Empresa 9,Producto 1012,42
Empresa 179,Producto 1013,48
Empresa 150,Producto 1014,49
Empresa 37,Producto 1015,39
Empresa 37,Producto 1016,21
Empresa 41,Producto 1017,1
Empresa 33,Producto 1018,5
Empresa 169,Producto 1019,38
Empresa 18,Producto 1020,21
Empresa 124,Producto 1021,37
Empresa 35,Producto 1022,4
Empresa 4,Producto 1023,12
Empresa 63,Producto 1024,38
Empresa 175,Producto 1025,43
Empresa 194,Producto 1026,6
Empresa 175,Producto 1027,42
Empresa 166,Producto 1028,13
Empresa 26,Producto 1029,40
Empresa 98,Producto 1030,8
Empresa 24,Producto 1031,17
Empresa 82,Producto 1032,48
Empresa 195,Producto 1033,33
Empresa 167,Producto 1034,41
Empresa 124,Producto 1035,16
Empresa 132,Producto 1036,34
Empresa 67,Producto 1037,37
Empresa 75,Producto 1038,2
Empresa 181,Producto 1039,46
Empresa 47,Producto 1040,32
Empresa 52,Producto 1041,1
Empresa 189,Producto 1042,25
Empresa 194,Producto 1043,12
Empresa 163,Producto 1044,20
Empresa 153,Producto 1045,39
Empresa 98,Producto 1046,17
Empresa 118,Producto 1047,18
Empresa 179,Producto 1048,35
Empresa 87,Producto 1049,39
Empresa 101,Producto 1050,4
Empresa 124,Producto 1051,6
Empresa 172,Producto 1052,27
Empresa 181,Producto 1053,35
Empresa 138,Producto 1054,27
Empresa 149,Producto 1055,33
Empresa 45,Producto 1056,45
Empresa 115,Producto 1057,24
Empresa 39,Producto 1058,43
Empresa 128,Producto 1059,16
Empresa 157,Producto 1060,39
Empresa 83,Producto 1061,8
Empresa 26,Producto 1062,8
Empresa 72,Producto 1063,14
Empresa 146,Producto 1064,27
Empresa 39,Producto 1065,47
Empresa 41,Producto 1066,47
Empresa 41,Producto 1067,2
Empresa 143,Producto 1068,29
Empresa 67,Producto 1069,7
Empresa 54,Producto 1070,7
Empresa 57,Producto 1071,26
Empresa 143,Producto 1072,31
Empresa 109,Producto 1073,25
Empresa 34,Producto 1074,24
Empresa 128,Producto 1075,28
Empresa 100,Producto 1076,41
Empresa 154,Producto 1077,4
Empresa 164,Producto 1078,20
Empresa 154,Producto 1079,21
Empresa 23,Producto 1080,9
Empresa 128,Producto 1081,34
Empresa 104,Producto 1082,18
Empresa 141,Producto 1083,2
Empresa 162,Producto 1084,20
Empresa 78,Producto 1085,13
Empresa 100,Producto 1086,29
Empresa 72,Producto 1087,49
Empresa 60,Producto 1088,22
Empresa 132,Producto 1089,28
Empresa 104,Producto 1090,13
Empresa 156,Producto 1091,10
Empresa 120,Producto 1092,4
Empresa 169,Producto 1093,50
Empresa 54,Producto 1094,4
Empresa 193,Producto 1095,29
Empresa 0,Producto 1096,5
Empresa 154,Producto 1097,19
Empresa 114,Producto 1098,50
Empresa 82,Producto 1099,41
Empresa 37,Producto 1100,27
Empresa 4,Producto 1101,8
Empresa 80,Producto 1102,3
Empresa 39,Producto 1103,14
Empresa 42,Producto 1104,36
Empresa 142,Producto 1105,50
Empresa 29,Producto 1106,9
Empresa 68,Producto 1107,26
Empresa 34,Producto 1108,50
Empresa 92,Producto 1109,12
Empresa 141,Producto 1110,17
Empresa 30,Producto 1111,31
Empresa 26,Producto 1112,17
Empresa 122,Producto 1113,48
Empresa 101,Producto 1114,13
Empresa 118,Producto 1115,1
Empresa 120,Producto 1116,47
Empresa 192,Producto 1117,43
Empresa 114,Producto 1118,16
Empresa 73,Producto 1119,34
Empresa 102,Producto 1120,1
Empresa 164,Producto 1121,38
Empresa 167,Producto 1122,5
Empresa 42,Producto 1123,11
Empresa 57,Producto 1124,24
Empresa 99,Producto 1125,18
Empresa 54,Producto 1126,27
Empresa 14,Producto 1127,45
Empresa 10,Producto 1128,7
Empresa 34,Producto 1129,11
Empresa 150,Producto 1130,8
Empresa 175,Producto 1131,2
Empresa 4,Producto 1132,14
Empresa 122,Producto 1133,39
Empresa 106,Producto 1134,11
Empresa 164,Producto 1135,29
Empresa 67,Producto 1136,1
Empresa 114,Producto 1137,47
Empresa 10,Producto 1138,8
Empresa 6,Producto 1139,10
Empresa 67,Producto 1140,28
Empresa 113,Producto 1141,25
Empresa 10,Producto 1142,2
Empresa 102,Producto 1143,20
Empresa 157,Producto 1144,49
Empresa 120,Producto 1145,42
Empresa 54,Producto 1146,40
Empresa 66,Producto 1147,29
Empresa 94,Producto 1148,38
Empresa 118,Producto 1149,41
Empresa 14,Producto 1150,23
Empresa 73,Producto 1151,31
Empresa 126,Producto 1152,36
Empresa 102,Producto 1153,6
Empresa 49,Producto 1154,9
Empresa 41,Producto 1155,23
Empresa 86,Producto 1156,41
Empresa 60,Producto 1157,11
Empresa 49,Producto 1158,29
Empresa 122,Producto 1159,44
Empresa 117,Producto 1160,46
Empresa 189,Producto 1161,15
Empresa 33,Producto 1162,36
Empresa 164,Producto 1163,11
Empresa 179,Producto 1164,45
Empresa 42,Producto 1165,33
Empresa 87,Producto 1166,28
Empresa 34,Producto 1167,15
Empresa 90,Producto 1168,5
Empresa 184,Producto 1169,14
Empresa 14,Producto 1170,16
Empresa 31,Producto 1171,39
Empresa 62,Producto 1172,40
Empresa 130,Producto 1173,34
Empresa 60,Producto 1174,12
Empresa 104,Producto 1175,17
Empresa 93,Producto 1176,4
Empresa 24,Producto 1177,12
Empresa 151,Producto 1178,24
Empresa 141,Producto 1179,39
Empresa 57,Producto 1180,41
Empresa 63,Producto 1181,19
Empresa 128,Producto 1182,4
Empresa 10,Producto 1183,39
Empresa 130,Producto 1184,19
Empresa 87,Producto 1185,4
Empresa 167,Producto 1186,25
Empresa 70,Producto 1187,9
Empresa 106,Producto 1188,21
Empresa 66,Producto 1189,33
Empresa 72,Producto 1190,47
Empresa 4,Producto 1191,40
Empresa 33,Producto 1192,11
Empresa 58,Producto 1193,22
Empresa 9,Producto 1194,40
Empresa 4,Producto 1195,10
Empresa 72,Producto 1196,16
Empresa 62,Producto 1197,41
Empresa 67,Producto 1198,24
Empresa 176,Producto 1199,42
Empresa 141,Producto 1200,50
Empresa 164,Producto 1201,6
Empresa 157,Producto 1202,12
Empresa 68,Producto 1203,32
Empresa 109,Producto 1204,1
Empresa 114,Producto 1205,2
Empresa 6,Producto 1206,16
Empresa 68,Producto 1207,35
Empresa 165,Producto 1208,40
Empresa 99,Producto 1209,12
Empresa 77,Producto 1210,5
Empresa 157,Producto 1211,8
Empresa 141,Producto 1212,20
Empresa 146,Producto 1213,12
Empresa 141,Producto 1214,25
Empresa 28,Producto 1215,13
Empresa 10,Producto 1216,34
Empresa 130,Producto 1217,7
Empresa 1,Producto 1218,10
Empresa 67,Producto 1219,38
Empresa 9,Producto 1220,26
Empresa 176,Producto 1221,12
Empresa 57,Producto 1222,16
Empresa 175,Producto 1223,35
Empresa 104,Producto 1224,8
Empresa 175,Producto 1225,17
Empresa 52,Producto 1226,43
Empresa 109,Producto 1227,17
Empresa 87,Producto 1228,29
Empresa 93,Producto 1229,41
Empresa 163,Producto 1230,17
Empresa 195,Producto 1231,6
Empresa 2,Producto 1232,37
Empresa 187,Producto 1233,27
Empresa 184,Producto 1234,13
Empresa 143,Producto 1235,27
Empresa 49,Producto 1236,39
Empresa 87,Producto 1237,50
Empresa 159,Producto 1238,36
Empresa 18,Producto 1239,12
Empresa 33,Producto 1240,37
Empresa 104,Producto 1241,36
Empresa 113,Producto 1242,29
Empresa 181,Producto 1243,1
Empresa 198,Producto 1244,30
Empresa 99,Producto 1245,30
Empresa 80,Producto 1246,12
Empresa 102,Producto 1247,39
Empresa 29,Producto 1248,38
Empresa 54,Producto 1249,15
Empresa 163,Producto 1250,25
Empresa 194,Producto 1251,27
Empresa 98,Producto 1252,26
Empresa 184,Producto 1253,4
Empresa 70,Producto 1254,9
Empresa 113,Producto 1255,17
Empresa 4,Producto 1256,38
Empresa 63,Producto 1257,45
Empresa 143,Producto 1258,36
Empresa 189,Producto 1259,11
Empresa 166,Producto 1260,39
Empresa 114,Producto 1261,25
Empresa 4,Producto 1262,2
Empresa 159,Producto 1263,20
Empresa 92,Producto 1264,41
Empresa 165,Producto 1265,20
Empresa 187,Producto 1266,11
Empresa 102,Producto 1267,15
Empresa 158,Producto 1268,33
Empresa 193,Producto 1269,8
Empresa 45,Producto 1270,40
Empresa 3,Producto 1271,5
Empresa 35,Producto 1272,42
Empresa 28,Producto 1273,19
Empresa 45,Producto 1274,9
Empresa 42,Producto 1275,39
Empresa 14,Producto 1276,25
Empresa 33,Producto 1277,31
Empresa 9,Producto 1278,6
Empresa 118,Producto 1279,6
Empresa 189,Producto 1280,2
Empresa 1,Producto 1281,34
Empresa 24,Producto 1282,47
Empresa 41,Producto 1283,43
Empresa 171,Producto 1284,44
Empresa 9,Producto 1285,20
Empresa 101,Producto 1286,8
Empresa 175,Producto 1287,26
Empresa 4,Producto 1288,5
Empresa 104,Producto 1289,16
Empresa 121,Producto 1290,36
Empresa 118,Producto 1291,10
Empresa 29,Producto 1292,10
Empresa 157,Producto 1293,48
Empresa 189,Producto 1294,30
Empresa 2,Producto 1295,44
Empresa 195,Producto 1296,1
Empresa 62,Producto 1297,39
Empresa 109,Producto 1298,29
Empresa 115,Producto 1299,46
Empresa 82,Producto 1300,28
Empresa 102,Producto 1301,41
Empresa 113,Producto 1302,49
Empresa 171,Producto 1303,47
Empresa 58,Producto 1304,13
Empresa 113,Producto 1305,47
Empresa 0,Producto 1306,39
Empresa 165,Producto 1307,39
Empresa 164,Producto 1308,2
Empresa 6,Producto 1309,48
Empresa 122,Producto 1310,29
Empresa 115,Producto 1311,1
Empresa 162,Producto 1312,11
Empresa 63,Producto 1313,30
Empresa 60,Producto 1314,49
Empresa 138,Producto 1315,32
Empresa 150,Producto 1316,20
Empresa 150,Producto 1317,38
Empresa 66,Producto 1318,21
Empresa 45,Producto 1319,31
Empresa 23,Producto 1320,34
Empresa 0,Producto 1321,47
Empresa 189,Producto 1322,49
Empresa 115,Producto 1323,14
Empresa 153,Producto 1324,36
Empresa 156,Producto 1325,48
Empresa 35,Producto 1326,9
Empresa 9,Producto 1327,28
Empresa 78,Producto 1328,14
Empresa 169,Producto 1329,47
Empresa 151,Producto 1330,32
Empresa 62,Producto 1331,39
Empresa 29,Producto 1332,5
Empresa 31,Producto 1333,24
Empresa 130,Producto 1334,28
Empresa 80,Producto 1335,10
Empresa 126,Producto 1336,33
Empresa 99,Producto 1337,18
Empresa 164,Producto 1338,24
Empresa 80,Producto 1339,33
Empresa 130,Producto 1340,32
Empresa 0,Producto 1341,44
Empresa 172,Producto 1342,20
Empresa 181,Producto 1343,14
Empresa 54,Producto 1344,17
Empresa 153,Producto 1345,10
Empresa 104,Producto 1346,29
Empresa 78,Producto 1347,32
Empresa 162,Producto 1348,27
Empresa 83,Producto 1349,21
Empresa 122,Producto 1350,50
Empresa 30,Producto 1351,18
Empresa 52,Producto 1352,19
Empresa 6,Producto 1353,48
Empresa 2,Producto 1354,50
Empresa 94,Producto 1355,35
Empresa 114,Producto 1356,43
Empresa 115,Producto 1357,33
Empresa 176,Producto 1358,6
Empresa 93,Producto 1359,35
Empresa 18,Producto 1360,50
Empresa 109,Producto 1361,21
Empresa 60,Producto 1362,4
Empresa 193,Producto 1363,8
Empresa 26,Producto 1364,3
Empresa 75,Producto 1365,35
Empresa 167,Producto 1366,12
Empresa 162,Producto 1367,37
Empresa 42,Producto 1368,20
Empresa 33,Producto 1369,17
Empresa 189,Producto 1370,19
Empresa 4,Producto 1371,9
Empresa 151,Producto 1372,17
Empresa 9,Producto 1373,15
Empresa 106,Producto 1374,12
Empresa 77,Producto 1375,42
Empresa 176,Producto 1376,50
Empresa 86,Producto 1377,28
Empresa 158,Producto 1378,41
Empresa 104,Producto 1379,39
Empresa 159,Producto 1380,29
Empresa 52,Producto 1381,14
Empresa 102,Producto 1382,27
Empresa 130,Producto 1383,1
Empresa 178,Producto 1384,40
Empresa 86,Producto 1385,21
Empresa 124,Producto 1386,37
Empresa 163,Producto 1387,10
Empresa 78,Producto 1388,4
Empresa 87,Producto 1389,36
Empresa 194,Producto 1390,32
Empresa 92,Producto 1391,31
Empresa 54,Producto 1392,39
Empresa 24,Producto 1393,15
Empresa 50,Producto 1394,18
Empresa 42,Producto 1395,48
Empresa 82,Producto 1396,14
Empresa 41,Producto 1397,47
Empresa 159,Producto 1398,27
Empresa 171,Producto 1399,49
Empresa 2,Producto 1400,27
Empresa 171,Producto 1401,27
Empresa 83,Producto 1402,11
Empresa 77,Producto 1403,19
Empresa 77,Producto 1404,45
Empresa 3,Producto 1405,33
Empresa 82,Producto 1406,9
Empresa 175,Producto 1407,30
Empresa 128,Producto 1408,7
Empresa 18,Producto 1409,48
Empresa 193,Producto 1410,11
Empresa 120,Producto 1411,20
Empresa 189,Producto 1412,41
Empresa 34,Producto 1413,31
Empresa 158,Producto 1414,22
Empresa 150,Producto 1415,44
Empresa 80,Producto 1416,26
Empresa 130,Producto 1417,9
Empresa 187,Producto 1418,30
Empresa 45,Producto 1419,17
Empresa 29,Producto 1420,21
Empresa 18,Producto 1421,34
Empresa 171,Producto 1422,27
Empresa 122,Producto 1423,16
Empresa 102,Producto 1424,45
Empresa 164,Producto 1425,37
Empresa 130,Producto 1426,34
Empresa 113,Producto 1427,41
Empresa 42,Producto 1428,22
Empresa 33,Producto 1429,3
Empresa 87,Producto 1430,19
Empresa 104,Producto 1431,39
Empresa 41,Producto 1432,36
Empresa 45,Producto 1433,33
Empresa 35,Producto 1434,26
Empresa 150,Producto 1435,26
Empresa 117,Producto 1436,49
Empresa 102,Producto 1437,8
Empresa 42,Producto 1438,4
Empresa 171,Producto 1439,31
Empresa 93,Producto 1440,17
Empresa 115,Producto 1441,11
Empresa 26,Producto 1442,21
Empresa 50,Producto 1443,11
Empresa 18,Producto 1444,33
Empresa 70,Producto 1445,21
Empresa 18,Producto 1446,13
Empresa 87,Producto 1447,18
Empresa 106,Producto 1448,41
Empresa 3,Producto 1449,48
Empresa 30,Producto 1450,23
Empresa 184,Producto 1451,24
Empresa 138,Producto 1452,36
Empresa 10,Producto 1453,12
Empresa 93,Producto 1454,5
Empresa 98,Producto 1455,2
Empresa 31,Producto 1456,2
Empresa 1,Producto 1457,3
Empresa 114,Producto 1458,48
Empresa 121,Producto 1459,33
Empresa 172,Producto 1460,1
Empresa 124,Producto 1461,8
Empresa 92,Producto 1462,7
Empresa 24,Producto 1463,1
Empresa 101,Producto 1464,47
Empresa 109,Producto 1465,18
Empresa 158,Producto 1466,48
Empresa 164,Producto 1467,43
Empresa 47,Producto 1468,36
Empresa 85,Producto 1469,6
Empresa 171,Producto 1470,1
Empresa 114,Producto 1471,4
Empresa 132,Producto 1472,16
Empresa 28,Producto 1473,5
Empresa 121,Producto 1474,26
Empresa 193,Producto 1475,12
Empresa 63,Producto 1476,8
Empresa 172,Producto 1477,12
Empresa 37,Producto 1478,12
Empresa 162,Producto 1479,21
Empresa 117,Producto 1480,6
Empresa 42,Producto 1481,28
Empresa 47,Producto 1482,13
Empresa 29,Producto 1483,28
Empresa 67,Producto 1484,8
Empresa 2,Producto 1485,43
Empresa 73,Producto 1486,28
Empresa 75,Producto 1487,16
Empresa 101,Producto 1488,49
Empresa 58,Producto 1489,35
Empresa 178,Producto 1490,33
Empresa 164,Producto 1491,36
Empresa 167,Producto 1492,31
Empresa 158,Producto 1493,1
Empresa 85,Producto 1494,18
Empresa 24,Producto 1495,9
Empresa 124,Producto 1496,45
Empresa 153,Producto 1497,11
Empresa 78,Producto 1498,6
Empresa 175,Producto 1499,4
Empresa 171,Producto 1500,12
Empresa 98,Producto 1501,45
Empresa 39,Producto 1502,31
Empresa 77,Producto 1503,28
Empresa 189,Producto 1504,36
Empresa 3,Producto 1505,1
Empresa 66,Producto 1506,48
Empresa 85,Producto 1507,22
Empresa 77,Producto 1508,27
Empresa 184,Producto 1509,12
Empresa 124,Producto 1510,2
Empresa 63,Producto 1511,20
Empresa 68,Producto 1512,25
Empresa 154,Producto 1513,23
Empresa 178,Producto 1514,43
Empresa 175,Producto 1515,39
Empresa 68,Producto 1516,20
Empresa 167,Producto 1517,13
Empresa 85,Producto 1518,45
Empresa 163,Producto 1519,12
Empresa 146,Producto 1520,25
Empresa 30,Producto 1521,20
Empresa 120,Producto 1522,26
Empresa 50,Producto 1523,2
Empresa 102,Producto 1524,41
Empresa 30,Producto 1525,24
Empresa 130,Producto 1526,12
Empresa 15,Producto 1527,22
Empresa 99,Producto 1528,37
Empresa 106,Producto 1529,27
Empresa 3,Producto 1530,20
Empresa 106,Producto 1531,14
Empresa 166,Producto 1532,50
Empresa 99,Producto 1533,36
Empresa 193,Producto 1534,33
Empresa 193,Producto 1535,13
Empresa 126,Producto 1536,45
Empresa 54,Producto 1537,10
Empresa 31,Producto 1538,40
Empresa 192,Producto 1539,23
Empresa 82,Producto 1540,9
Empresa 113,Producto 1541,45
Empresa 4,Producto 1542,7
Empresa 100,Producto 1543,1
Empresa 82,Producto 1544,11
Empresa 104,Producto 1545,48
Empresa 23,Producto 1546,46
Empresa 157,Producto 1547,49
Empresa 121,Producto 1548,46
Empresa 60,Producto 1549,1
Empresa 114,Producto 1550,23
Empresa 194,Producto 1551,16
Empresa 31,Producto 1552,43
Empresa 80,Producto 1553,22
Empresa 54,Producto 1554,17
Empresa 47,Producto 1555,43
Empresa 49,Producto 1556,18
Empresa 156,Producto 1557,11
Empresa 29,Producto 1558,34
Empresa 187,Producto 1559,4
Empresa 85,Producto 1560,7
Empresa 77,Producto 1561,43
Empresa 31,Producto 1562,18
Empresa 15,Producto 1563,49
Empresa 141,Producto 1564,1
Empresa 77,Producto 1565,27
Empresa 169,Producto 1566,45
Empresa 18,Producto 1567,34
Empresa 72,Producto 1568,37
Empresa 3,Producto 1569,15
Empresa 151,Producto 1570,39
Empresa 3,Producto 1571,26
Empresa 94,Producto 1572,49
Empresa 26,Producto 1573,21
Empresa 169,Producto 1574,44
Empresa 33,Producto 1575,17
Empresa 6,Producto 1576,15
Empresa 26,Producto 1577,11
Empresa 72,Producto 1578,25
Empresa 47,Producto 1579,4
Empresa 193,Producto 1580,45
Empresa 153,Producto 1581,24
Empresa 124,Producto 1582,46
Empresa 102,Producto 1583,5
Empresa 165,Producto 1584,40
Empresa 149,Producto 1585,16
Empresa 68,Producto 1586,8
Empresa 99,Producto 1587,1
Empresa 4,Producto 1588,6
Empresa 34,Producto 1589,49
Empresa 15,Producto 1590,11
Empresa 115,Producto 1591,24
Empresa 118,Producto 1592,7
Empresa 154,Producto 1593,13
Empresa 169,Producto 1594,18
Empresa 114,Producto 1595,36
Empresa 45,Producto 1596,31
Empresa 130,Producto 1597,49
Empresa 60,Producto 1598,2
Empresa 184,Producto 1599,36
Empresa 118,Producto 1600,34
Empresa 10,Producto 1601,26
Empresa 2,Producto 1602,12
Empresa 92,Producto 1603,29
Empresa 162,Producto 1604,5
Empresa 49,Producto 1605,4
Empresa 30,Producto 1606,26
Empresa 187,Producto 1607,34
Empresa 29,Producto 1608,2
Empresa 164,Producto 1609,3
Empresa 2,Producto 1610,38
Empresa 146,Producto 1611,36
Empresa 67,Producto 1612,15
Empresa 1,Producto 1613,15
Empresa 141,Producto 1614,50
Empresa 138,Producto 1615,21
Empresa 34,Producto 1616,35
Empresa 175,Producto 1617,40
Empresa 31,Producto 1618,27
Empresa 34,Producto 1619,37
Empresa 120,Producto 1620,15
Empresa 85,Producto 1621,9
Empresa 99,Producto 1622,31
Empresa 41,Producto 1623,14
Empresa 164,Producto 1624,31
Empresa 58,Producto 1625,39
Empresa 10,Producto 1626,38
Empresa 157,Producto 1627,29
Empresa 138,Producto 1628,24
Empresa 146,Producto 1629,28
Empresa 121,Producto 1630,21
Empresa 126,Producto 1631,40
Empresa 157,Producto 1632,6
Empresa 126,Producto 1633,45
Empresa 118,Producto 1634,14
Empresa 78,Producto 1635,41
Empresa 192,Producto 1636,27
Empresa 154,Producto 1637,35
Empresa 101,Producto 1638,22
Empresa 60,Producto 1639,46
Empresa 2,Producto 1640,38
Empresa 138,Producto 1641,35
Empresa 164,Producto 1642,19
Empresa 73,Producto 1643,29
Empresa 68,Producto 1644,39
Empresa 172,Producto 1645,2
Empresa 154,Producto 1646,24
Empresa 158,Producto 1647,20
Empresa 194,Producto 1648,12
Empresa 176,Producto 1649,25
Empresa 184,Producto 1650,4
Empresa 181,Producto 1651,2
Empresa 143,Producto 1652,16
Empresa 6,Producto 1653,41
Empresa 100,Producto 1654,24
Empresa 52,Producto 1655,36
Empresa 33,Producto 1656,26
Empresa 99,Producto 1657,24
Empresa 33,Producto 1658,33
Empresa 63,Producto 1659,33
Empresa 98,Producto 1660,13
Empresa 143,Producto 1661,21
Empresa 118,Producto 1662,2
Empresa 7,Producto 1663,48
Empresa 114,Producto 1664,15
Empresa 172,Producto 1665,19
Empresa 0,Producto 1666,8
Empresa 0,Producto 1667,34
Empresa 150,Producto 1668,42
Empresa 58,Producto 1669,39
Empresa 138,Producto 1670,26
Empresa 75,Producto 1671,42
Empresa 1,Producto 1672,45
Empresa 34,Producto 1673,41
Empresa 104,Producto 1674,32
Empresa 23,Producto 1675,4
Empresa 165,Producto 1676,47
Empresa 176,Producto 1677,34
Empresa 165,Producto 1678,4
Empresa 9,Producto 1679,45
Empresa 87,Producto 1680,34
Empresa 193,Producto 1681,15
Empresa 165,Producto 1682,24
Empresa 86,Producto 1683,8
Empresa 60,Producto 1684,17
Empresa 86,Producto 1685,31
Empresa 176,Producto 1686,24
Empresa 128,Producto 1687,42
Empresa 113,Producto 1688,35
Empresa 58,Producto 1689,39
Empresa 120,Producto 1690,30
Empresa 54,Producto 1691,18
Empresa 122,Producto 1692,23
Empresa 117,Producto 1693,1
Empresa 50,Producto 1694,35
Empresa 132,Producto 1695,16
Empresa 157,Producto 1696,24
Empresa 130,Producto 1697,42
Empresa 23,Producto 1698,2
Empresa 78,Producto 1699,14
Empresa 130,Producto 1700,11
Empresa 124,Producto 1701,42
Empresa 41,Producto 1702,39
Empresa 126,Producto 1703,40
Empresa 14,Producto 1704,46
Empresa 60,Producto 1705,47
Empresa 193,Producto 1706,33
Empresa 171,Producto 1707,47
Empresa 72,Producto 1708,5
Empresa 101,Producto 1709,19
Empresa 175,Producto 1710,36
Empresa 29,Producto 1711,5
Empresa 109,Producto 1712,29
Empresa 42,Producto 1713,11
Empresa 104,Producto 1714,1
Empresa 3,Producto 1715,41
Empresa 70,Producto 1716,6
Empresa 158,Producto 1717,19
Empresa 77,Producto 1718,12
Empresa 100,Producto 1719,23
Empresa 6,Producto 1720,38
Empresa 132,Producto 1721,48
Empresa 138,Producto 1722,42
Empresa 157,Producto 1723,26
Empresa 184,Producto 1724,31
Empresa 60,Producto 1725,28
Empresa 77,Producto 1726,16
Empresa 178,Producto 1727,36
Empresa 45,Producto 1728,24
Empresa 92,Producto 1729,1
Empresa 50,Producto 1730,9
Empresa 184,Producto 1731,27
Empresa 31,Producto 1732,44
Empresa 171,Producto 1733,33
Empresa 142,Producto 1734,3
Empresa 60,Producto 1735,10
Empresa 85,Producto 1736,4
Empresa 113,Producto 1737,13
Empresa 33,Producto 1738,16
Empresa 60,Producto 1739,16
Empresa 68,Producto 1740,27
Empresa 24,Producto 1741,26
Empresa 151,Producto 1742,3
Empresa 102,Producto 1743,38
Empresa 45,Producto 1744,6
Empresa 93,Producto 1745,9
Empresa 3,Producto 1746,5
Empresa 68,Producto 1747,25
Empresa 179,Producto 1748,26
Empresa 102,Producto 1749,41
Empresa 142,Producto 1750,19
Empresa 93,Producto 1751,16
Empresa 104,Producto 1752,13
Empresa 124,Producto 1753,35
Empresa 128,Producto 1754,4
Empresa 45,Producto 1755,34
Empresa 1,Producto 1756,23
Empresa 128,Producto 1757,15
Empresa 7,Producto 1758,38
Empresa 193,Producto 1759,50
Empresa 100,Producto 1760,26
Empresa 67,Producto 1761,6
Empresa 124,Producto 1762,32
Empresa 142,Producto 1763,28
Empresa 68,Producto 1764,24
Empresa 62,Producto 1765,41
Empresa 187,Producto 1766,23
Empresa 9,Producto 1767,45
Empresa 141,Producto 1768,10
Empresa 90,Producto 1769,40
Empresa 73,Producto 1770,45
Empresa 106,Producto 1771,20
Empresa 109,Producto 1772,38
Empresa 175,Producto 1773,46
Empresa 18,Producto 1774,12
Empresa 85,Producto 1775,23
Empresa 172,Producto 1776,38
Empresa 67,Producto 1777,7
Empresa 164,Producto 1778,14
Empresa 150,Producto 1779,30
Empresa 99,Producto 1780,15
Empresa 157,Producto 1781,49
Empresa 178,Producto 1782,39
Empresa 42,Producto 1783,21
Empresa 157,Producto 1784,49
Empresa 30,Producto 1785,30
Empresa 149,Producto 1786,6
Empresa 126,Producto 1787,13
Empresa 121,Producto 1788,36
Empresa 118,Producto 1789,47
Empresa 157,Producto 1790,22
Empresa 58,Producto 1791,12
Empresa 63,Producto 1792,37
Empresa 104,Producto 1793,7
Empresa 151,Producto 1794,23
Empresa 150,Producto 1795,30
Empresa 1,Producto 1796,20
Empresa 159,Producto 1797,29
Empresa 47,Producto 1798,39
Empresa 99,Producto 1799,35
Empresa 193,Producto 1800,50
Empresa 104,Producto 1801,31
Empresa 98,Producto 1802,50
Empresa 154,Producto 1803,3
Empresa 171,Producto 1804,11
Empresa 157,Producto 1805,28
Empresa 23,Producto 1806,4
Empresa 7,Producto 1807,28
Empresa 67,Producto 1808,38
